,name,sector,year,quarter,Relative Return,매출액변화율,이익잉여금변화율,유동자산변화율,자본금변화율,자본총계변화율,Label,Code
17,Samsung_SDS,IT_Service,2020,Q2,-0.04946983142823291,0.002777199749802395,-0.023121896985298207,0.04294012714468076,-0.0,-0.017728430338884715,-0.05606459504499836,018260
17,NAVER,IT_Service,2020,Q2,0.08855930310475767,-0.08247233403984278,-0.036963153112405056,0.12624470819323375,-0.0,-0.059294361061688505,0.4012805051572448,035420
17,Kakao,IT_Service,2020,Q2,0.19166325341049387,-0.00041441447232659634,-0.08914044753633155,-0.02494892469970167,-0.010211484578956265,-0.0677314377354632,0.5125512188425996,035720
17,NCSoft,IT_Service,2020,Q2,0.3848446659583862,0.7180523319981457,-0.06294743331844876,0.004440914040372723,-0.0,-0.029152679281452487,0.17480209475302286,036570
17,SK_Hynix,Electronics,2020,Q2,0.049600969771424336,-0.18579422862190587,-0.029463561197450305,-0.10741722409705345,-0.0,-0.026243493168132126,-0.16578229454867316,000660
17,POSCO_Future_M,Electronics,2020,Q2,0.0658860996471393,0.12765425160382615,0.0012456945450387558,-0.7860455945168554,-0.0,0.0009505343101035013,0.5123622502607369,003670
17,Samsung_Electronics,Electronics,2020,Q2,0.042252996798451375,0.05447621041331163,-0.00649075788766762,0.07166273403958823,-0.0,-0.007449142135378617,-0.08957283501116396,005930
17,Samsung_SDI,Electronics,2020,Q2,0.19666056892754247,-0.1632316546734498,-0.01775321963205445,-0.109509276224937,-0.0,-0.020719084973179758,0.3122602348869744,006400
17,Samsung_Electro_Mechanics,Electronics,2020,Q2,-0.042710538165083606,0.10484189444621406,-0.2635919697760234,0.0953779013116468,-0.0,-0.011311873949176876,0.13308062826171566,009150
17,Korea_Electric_Power,Electronics,2020,Q2,-0.13305398277899083,0.13121401821713974,-0.006810070973109594,0.057812563651595705,-0.0,-0.00450810236400212,-0.1760073089726747,015760
17,LG_Display,Electronics,2020,Q2,-0.1433507205732218,-0.09141899410923449,0.07269346531749199,0.013261027647234358,-0.0,0.04425279058369924,-0.16102867716384947,034220
17,LG_Electronics,Electronics,2020,Q2,-0.14679817136135187,0.06028592874009153,-0.03938756827953571,0.03825829011356774,-0.0,-0.02391513051515015,0.10752146113913333,066570
17,SK_Telecom,Communication,2020,Q2,-0.07595081054725494,-0.0058118032259664165,-0.010230286418401402,0.05536056731941541,-0.0,-0.021245817659235833,-0.013588404568807888,017670
17,KT_Corporation,Communication,2020,Q2,-0.08155819844131529,0.020183031776218385,-0.015135173944606173,-0.08235560019069021,-0.0,-0.013588851547930991,-0.012929159052419509,030200
