,code,name,sector,year,quarter,유동자산 변화율,비유동자산 변화율,자산총계 변화율,유동부채 변화율,비유동부채 변화율,부채총계 변화율,자본금 변화율,이익잉여금 변화율,자본총계 변화율,매출액 변화율,영업이익 변화율,법인세차감전 순이익 변화율,당기순이익 변화율,당기순이익(손실) 변화율,소비자물가지수 변화율,환율 변화율,GDP 변화율,금리 변화율,수출액 변화율,실업률 변화율,전체 주주 수 변화율,주주 비율 변화율,보유 주식 수 변화율,전체 주식 수 변화율,보유 주식 비율 변화율,접수일자 변화율,특정 증권 등 소유 수 변화율,특정 증권 등 소유 증감 수 변화율,특정 증권 등 소유 비율 변화율,특정 증권 등 소유 증감 비율 변화율,1인평균급여 변화율,기초 소유 주식 수 변화율,기초 소유주식 지분율 변화율,기말 소유주식 수 변화율,기말 소유주식 지분율 변화율,발행할 주식 총수 변화율,현재까지 발행한 주식 총수 변화율,현재까지 감소한 주식의 총수 변화율,주식 수 감소 변화율,이익 소각 변화율,상환주식의 상환 변화율,기타 변화율,발행주식의 총수 변화율,자기주식수 변화율,유통주식수 변화율,증자주식수 변화율,주식액면가액 변화율,발행금액 변화율,보유 지분율 변화율,Relative Return,Label,Code
0,150,Doosan_Corp,기타금융,2024,Q3,0.012902987735249338,0.0026689140665191458,0.00398377215671053,0.03957625016558586,-0.03356570808673642,0.011266936457822174,-0.0,0.00047820790162245164,-0.0007597759747115518,-0.06337635632972272,-0.5109359954514094,-0.7615812577001586,0.4972244279616913,0.4972244279616913,0.2377021247854798,0.011538677997511404,-0.0009958598205548341,0.11983510689291532,0.0051857654838392,0.09523809523809512,0.005183380041260288,0.0,0.005183380041260288,0.005183380041260288,0.0,0.0,0.13799674500812997,0.8779353671980878,0.13803618639537363,0.8781312237047251,0.005183380041260288,0.005183380041260399,0.005183380041260399,0.005183380041260288,0.005183380041260399,0.005183380041260288,0.005183380041260288,0.005183380041260399,0.005183380041260288,0.005183380041260399,0.0,0.005183380041260399,0.005183380041260399,0.005183380041260399,0.005183380041260399,0.005183380041260399,0.005183380041260399,0.005183380041260288,0.0,0.3950007047817071,0.3950007047817071,000150
1,150,Doosan_Corp,기타금융,2024,Q2,0.12781926290675216,-0.006085550271659468,0.01337574883331405,0.06366195070625791,-0.02137027107148648,0.0324859537647183,-0.0,0.0012274237844323022,0.000517960737378087,-0.12107096181874355,0.4547439021147267,1.3899873776337266,1.3662249083524047,1.3662249083524047,0.110334699467731,-0.030762850791552276,0.0022763832415567675,-0.02546205269366908,-0.05808429975732232,3.3306690738754696e-16,-0.05798075009761594,0.0,-0.05798075009761572,-0.05798075009761572,0.0,0.0,-0.3017047208734458,-117.34349305358661,-0.30175292153589295,-129.0,-0.05798075009761572,-0.05798075009761572,-0.05798075009761572,-0.05798075009761572,-0.05798075009761572,-0.05798075009761594,-0.05798075009761572,-0.05798075009761594,-0.05798075009761594,-0.05798075009761572,0.0,-0.05798075009761572,-0.05798075009761594,-0.05798075009761594,-0.05798075009761572,-0.05798075009761594,-0.05798075009761594,-0.05798075009761572,0.0,0.6138203073892234,0.3950007047817071,000150
2,150,Doosan_Corp,기타금융,2024,Q1,-0.1669543156152582,-0.0016298607653995045,-0.0226871114377869,-0.0589468088487235,-0.0975219364757327,-0.07277094454127409,-0.0,0.007741589103934188,0.008458883242011161,0.6892641124301919,3.863689758255348,1.1935685876115754,1.3580647160005355,1.3580647160005355,0.11265192787422551,-0.006272868624748851,-0.013001130867663191,0.12136131985833976,-0.023680694141577696,0.011764705882352788,0.4831204361139707,0.0,-0.395502355734044,0.16827127477819492,0.0,0.0,-0.2413096306103073,0.649258307781553,-0.24102209944751385,0.6785714285714286,0.05398008365136153,-0.1663085298312983,-0.048454570783955875,-0.13057275540047408,-0.049006877350382005,-0.11505977548083623,0.21311939748815345,0.42547242679259334,0.0398779808944858,0.07462808016709888,0.0,0.2700151797541709,-0.19049523694273574,-0.32449421129933587,-0.1632972399139574,-0.023661010794986392,-0.023661010794986392,-0.023661010794986392,0.0,-0.2952707955787645,0.6138203073892234,000150
3,150,Doosan_Corp,기타금융,2023,Q4,0.18316706638234204,-0.010875646627577673,0.018812339881735363,0.02351486133041225,0.04313349805623545,0.030637392427127264,-0.0,0.011778553386568857,0.011312003820950434,-1.962351018147904,3.7693834522350493,-2.133175123061313,-1.8763542156995086,-1.8763542156995086,-0.10965773361610065,-0.0065457565880464585,-0.004550077278224318,-0.00757180156657955,-0.05902989272759007,-0.0625,-1.0971461549625228,0.0,0.22323886768925216,-0.30327588444563935,0.0,0.0,0.4188617316452393,1.1082453789171336,0.4184738955823293,1.10727969348659,-0.14582364625695043,0.07059584813369724,-0.033875973445162355,0.04121872316096542,-0.0333316333637641,0.027879927320612508,-0.3775558661912408,-0.8867188287079375,-0.12899399077646523,-0.17139062332692157,0.0,-0.4849240147449292,0.08947809588386257,0.18159552474079166,0.06819000957788957,-0.05891694472222553,-0.05891694472222553,-0.05891694472222553,0.0,0.2807863441068099,-0.2952707955787645,000150
4,150,Doosan_Corp,기타금융,2023,Q3,-0.11695202334656263,-0.019620124704323283,-0.03339766075329509,-0.10490845088814615,-0.08509017979901912,-0.0976302918031815,-0.0,0.0031808135531959936,0.0035865908306648153,0.5868913670373448,0.8043993198978729,0.8654280605449347,0.860471135822532,0.860471135822532,0.028955398190522508,0.0021566395604083466,-0.007533279773421997,-0.11207897793263655,-0.001535787938867772,-0.03896103896103886,-0.0015727644994938395,0.0,-0.0015727644994938395,-0.0015727644994938395,0.0,0.0,0.13216827553354216,0.15025771663518572,0.13270637408568442,0.1470588235294118,-0.0015727644994938395,-0.0015727644994938395,-0.0015727644994938395,-0.0015727644994938395,-0.0015727644994938395,-0.0015727644994938395,-0.0015727644994938395,-0.0015727644994938395,-0.0015727644994940615,-0.0015727644994938395,0.0,-0.0015727644994938395,-0.0015727644994938395,-0.0015727644994940615,-0.0015727644994938395,-0.0015727644994938395,-0.0015727644994938395,-0.0015727644994940615,0.0,-0.12121228960672698,0.2807863441068099,000150
5,150,Doosan_Corp,기타금융,2023,Q2,0.1317523495164764,0.015273448403388623,0.033624705825406886,-0.1941514736794414,0.2968335651956906,0.0495665371177344,-0.0,0.02228870251672177,0.02420064369543251,-0.035709397083038885,-0.14976464075590123,-34.53970112795444,23.088896360906723,23.088896360906723,0.3075171004307199,-0.031973087460080984,-0.005514657406169521,-0.0022310602386272915,-0.03581912791841346,0.04938271604938271,-0.035709397083038885,0.0,-0.035709397083038885,-0.035709397083038885,0.0,0.0,-0.684778351914564,3.5394581546492474,-0.6851043572393154,3.539816823375037,-0.035709397083038885,-0.035709397083038885,-0.035709397083038885,-0.03570939708303866,-0.035709397083038885,-0.03570939708303866,-0.03570939708303866,-0.03570939708303866,-0.03570939708303866,-0.03570939708303866,0.0,-0.03570939708303866,-0.03570939708303866,-0.035709397083038885,-0.035709397083038885,-0.03570939708303866,-0.03570939708303866,-0.03570939708303866,0.0,0.07864493781632614,-0.12121228960672698,000150
6,150,Doosan_Corp,기타금융,2023,Q1,0.0020580810780245207,-0.0010508054669906564,-0.0005597153621810236,-0.20321459407326414,0.11851688764380963,-0.018658805086528396,-0.0,0.009570507622682523,0.009840280730521789,0.06486926836266482,1.9150127389535998,0.9730071641519248,1.0454354316354615,1.0454354316354615,0.11353477832962133,0.06294645789640896,-0.004395562960080701,0.12061758935426237,0.06497623491867566,0.05813953488372092,0.19787802937155463,0.0,-0.434241338732666,0.26032112130081075,0.0,0.0,0.06486926836266471,0.06486926836266482,0.06486926836266482,0.06486926836266482,0.11748423840581357,-0.043025567870279335,0.03947806566053902,-0.17438670248785293,-0.07743840433599813,0.00834714565102801,0.3002057713217886,0.48905707083942396,0.14613748813716,0.17704169245906476,0.0,0.3508047312386988,-0.058739653032537475,-0.1779085696435383,-0.034551737748325095,0.06486926836266482,0.06486926836266482,0.06486926836266471,0.0,-0.004762963475152865,0.07864493781632614,000150
7,150,Doosan_Corp,기타금융,2022,Q4,0.2964128762742888,0.0029227595373084725,0.06456062023191789,0.21995368189476672,0.0598674370105341,0.13551175658268122,-0.0,0.02054926205104246,0.018261523370401767,0.0840926190509319,1.7111753905195288,1.4466446370663553,1.401885273704368,1.401885273704368,0.11456608043309557,-0.01431559495807777,0.004520310424048435,-0.11445954938682568,0.08414558489005308,-0.023809523809523725,-0.06778416577704927,0.0,0.40282495272674435,-0.15792564033351808,0.0,0.0,0.08409261905093202,0.08409261905093202,0.08409261905093202,0.08409261905093202,0.029486864107946875,0.17883782944287396,0.10830444507450299,0.27068900095299187,0.2050653329117449,0.13629740941830693,-0.22392141026470447,-0.6762990353268281,-0.0030808559452484285,-0.04074912594078661,0.0,-0.31931512824049335,0.1910257287467294,0.2728695916372087,0.17211183548628273,0.0840926190509319,0.0840926190509319,0.08409261905093213,0.0,0.23248859387923604,-0.004762963475152865,000150
8,150,Doosan_Corp,기타금융,2022,Q3,-0.3435324094183281,0.08036067819292292,0.015099546463954172,0.08378523131042814,0.13225393477488445,0.11000685147322042,-0.0,-0.05664330520026328,-0.05856229340504937,-0.027712498546715203,0.5563839335626599,-3.934922064396173,-4.247269577918033,-4.247269577918033,-0.09093510066157107,-0.06411636151380273,-0.003895125891120621,-0.0359464250541639,-0.02779144307122383,0.023255813953488302,-0.027712498546715425,0.0,-0.027712498546715425,-0.027712498546715425,0.0,0.0,-0.027712498546715203,-0.027712498546715425,-0.027712498546715425,-0.027712498546715425,-0.027712498546715203,-0.027712498546715203,-0.027712498546715203,-0.027712498546715425,-0.027712498546715203,-0.027712498546715203,-0.027712498546715203,-0.027712498546715425,-0.027712498546715425,-0.027712498546715425,0.0,-0.027712498546715203,-0.027712498546715203,-0.027712498546715425,-0.027712498546715203,-0.027712498546715203,-0.027712498546715425,-0.027712498546715425,0.0,-0.17416914717588708,0.23248859387923604,000150
9,150,Doosan_Corp,기타금융,2022,Q2,-0.09464362339587695,-0.014187148863769483,-0.025794871894208926,0.11888327390865072,-0.24835081722161267,-0.04788712377705706,-0.0,-0.011043541258800804,-0.009279818119856342,-0.056489792238982206,-1.7759226647659907,-1.0965622982848697,-0.2104493820522162,-0.2104493820522162,-0.38636857995042173,-0.045732630383092276,-0.007975770342554478,-0.2746673361787626,-0.056550678111290775,0.033707865168539186,-0.056489792238982206,0.0,-0.056489792238981984,-0.056489792238981984,0.0,0.0,-0.056489792238981984,-0.056489792238982206,-0.056489792238981984,-0.056489792238981984,-0.056489792238981984,-0.056489792238982206,-0.056489792238981984,-0.056489792238981984,-0.056489792238982206,-0.056489792238981984,-0.056489792238981984,-0.056489792238982206,-0.056489792238982206,-0.056489792238982206,0.0,-0.056489792238981984,-0.056489792238981984,-0.056489792238982206,-0.056489792238982206,-0.056489792238982206,-0.056489792238981984,-0.056489792238981984,0.0,-0.06810196658570933,-0.17416914717588708,000150
10,150,Doosan_Corp,기타금융,2022,Q1,0.2834552656330327,-0.07040648845748398,0.0007861059317445518,0.21842267981194363,-0.5215653575029571,-0.0031236306445372453,-0.0,0.0020258474522785175,0.003688978534823195,-0.038595815062534955,1.544819098530279,1.3358006671509133,1.5582608564032046,1.5582608564032046,-0.09364288108448604,-0.018637728474920623,-0.004832000385876389,-0.14767324592997877,-0.03864674909181387,0.09183673469387776,-0.509964993318138,0.0,-0.8392770714336961,0.20460586240349932,0.0,0.0,-0.03859581506253518,-0.038595815062534955,-0.03859581506253518,-0.03859581506253518,-0.03685945037031968,-0.14223027364303564,-0.05187259052084592,-0.10180129983812325,-0.03552544199571006,-0.06634769437668053,0.2474947669272629,0.45057102182583697,0.08182150956709511,0.11505352909961986,0.0,0.30190502149228193,-0.13848771069952748,-0.2666328563643716,-0.11247787511847496,0.5063445271291056,-0.03482605563614216,-0.03859581506253518,0.0,0.21133524785023414,-0.06810196658570933,000150
