,name,sector,year,quarter,비유동자산변화율,비유동부채변화율,부채총계변화율,영업이익변화율,유동부채변화율,Relative Return,전체 주식 수변화율,전체 주주 수변화율,1인평균급여변화율,주주 수변화율,Label,Code
25,Hankook_Tire_Worldwide,Automotive_&_Parts,2018,Q2,-0.004042511563643325,-0.0021093304064108143,0.28603168948845425,0.6322646754376716,0.6017573052653417,0.01571765120288519,0.01647239543371959,0.012735598655994051,-0.013144134736325475,0.01449650676605685,-0.0011039006321107159,000240
26,Kia_Corp,Automotive_&_Parts,2018,Q2,-0.009330606280902431,-0.027577333130102133,0.03751729945117688,-14.26460838479038,0.09020601948349727,-0.02646735677159647,0.015341401737610671,0.016068545208317464,0.0006932038664410056,0.042840302684395315,0.04394539044051016,000270
25,Nexen_Tire,Automotive_&_Parts,2018,Q2,-0.005757729985835347,0.00647558513333335,0.0015134110340322415,-0.5070188963574651,-0.005352832497075077,0.09769802586836243,-0.011481005316599235,-0.01765664835812575,-0.019680669361409553,-0.016944543051739203,-0.12300048250115522,002350
25,Korean_Air,Automotive_&_Parts,2018,Q2,-0.010691827318265457,0.0065827920868895,-0.012335421831062288,0.5337724258956276,-0.05445960069216271,0.025364393567616557,0.010362227791613665,0.00979262328152275,0.00011168208390077705,0.055748353903819825,-0.12477548947335937,003490
25,SsangYong_Motor,Automotive_&_Parts,2018,Q2,0.007103231055591186,-0.01694498485737972,0.07044355396625268,0.7430496454141386,0.11191755934978687,0.0020423737477506185,0.013768605971628656,0.06539888887339551,0.030484345392218004,0.059544876080414144,-0.026356284240653588,003620
25,SEBANG_Global_Battery,Automotive_&_Parts,2018,Q2,-0.022378636575609567,-0.06220042127621195,0.02674161063612457,-0.18763782557249686,0.029623851070996188,-0.056770387074626776,-0.01785738660958547,-0.01936404694006688,-0.006657355983906266,-0.03183622130760244,0.028748283515696763,004490
25,Hyundai_Motor,Automotive_&_Parts,2018,Q2,0.0027728549882768405,-0.030702954326573106,0.008580465758492473,-0.6426420755002051,0.027142341726934416,-0.012372924072512607,0.00044850141787378117,-0.00023365842380362878,-0.008171548807730522,0.025684961166079878,-0.08110127500031805,005380
25,Dong-A_Tire,Automotive_&_Parts,2018,Q2,-0.007324232381255014,-0.02716279891727047,0.14431016964923593,-0.10254462914732398,0.18434046783751856,0.13274786151535178,-0.22351726633939717,-0.18823872031007172,-0.08900044153385678,-0.1329507791040947,-0.0050978074085664404,007340
25,Seoyon,Automotive_&_Parts,2018,Q2,0.0005122139373349155,-0.01648980059738414,0.09269895099570158,1.3081997766906004,0.11886199817131549,-0.10154650647761185,0.01700282854470736,0.017342077641544384,0.006499210329629634,0.0074668078598734144,-0.1536950183800229,007860
25,Seohung,Automotive_&_Parts,2018,Q2,-0.012879244006441581,-0.012272825889041217,-0.04143112275889416,-0.023823013504526314,-0.05182993157781235,0.031080599858928967,-0.02427021042181332,-0.02046417168137671,-0.019326467482647436,-0.0217127987050707,0.03811667562273159,008490
25,Motonic,Automotive_&_Parts,2018,Q2,0.015871329625657404,-0.01452289272976448,-0.060467835920177126,-2.6541058292896054,-0.0905306473654579,0.10044305166055109,-0.011705117386430652,-0.014006318770309445,-0.010593801417539517,-0.005080309078884904,-0.0033659212239190647,009680
25,Hwashin,Automotive_&_Parts,2018,Q2,-0.019075818368521125,-0.07308353969533998,-0.17819352150386836,0.8600207578662877,-0.18509951244000122,-0.04036653481512841,-0.17272350273645354,-0.20151083241796752,-0.04471698099354149,-0.23325002013049057,-0.15841841717350255,010690
26,Hyundai_Mobis,Automotive_&_Parts,2018,Q2,0.00018032412001323106,0.09332437172147934,0.003363250549375585,-0.055982119874688374,-0.004336088514919512,-0.05348034378458349,-0.022324720375130225,-0.02215157514360211,-0.025013113564797074,-0.010254455080655589,-0.06443593269982179,012330
25,S-1_Corporation,Financials,2018,Q2,0.0024781397935501603,-0.007122094532657108,0.19833059574987977,0.17443429418906453,0.2533269986911527,-0.04156223074497512,0.04313265595149274,0.04407234447284858,0.012389476212536166,0.03536770118790167,0.03713483037905261,012750
25,Hanon_Systems,Automotive_&_Parts,2018,Q2,-0.006051623555470176,-0.008315877604555544,0.0549323206485699,-0.07290895363754446,0.09762963169685068,-0.14212028897129125,0.01687109245930185,0.01687109245930163,0.013727220183401334,0.01687109245930174,-0.019788824323452886,018880
25,Hansum,Automotive_&_Parts,2018,Q2,0.0057581494299516756,-0.13201459831065265,-0.08890364837588116,0.6418839466771149,-0.0885819250994273,0.06359606817554941,-0.004990213701979718,0.0003023467281135783,-0.0006859583304341665,-0.03307353211347741,0.316344061081549,020000
25,Kumho_Tire,Automotive_&_Parts,2018,Q2,0.002052836870448549,0.0006638424693314882,0.0195341858839595,2.0134991830053455,0.025370077317373507,0.09505824406434919,0.011065918939796582,0.022085254623267825,0.014021255430834434,0.032440551900224324,0.10380898489073451,073240
25,Hyundai_Glovis,Automotive_&_Parts,2018,Q2,0.009642861893862653,-0.005843066942519126,-0.017912700299127282,-0.2565732667133507,-0.0251753145815814,0.2677288739888581,-0.018858230949450272,-0.02719708441384916,-0.013000257556091022,-0.00884501898768919,-0.27614661492155734,086280
25,Hankook_Tire_&_Technology,Automotive_&_Parts,2018,Q2,-0.024188793251826768,-0.03870662861979968,0.010481808886130706,-0.02987846775275438,0.032919023233308975,0.01582368551944582,-0.021556142781010257,-0.017138473607249294,-0.014606645063053314,-0.016913351464336035,-0.15974471780951327,161390
