,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,부채총계 변화율,이익잉여금 변화율,국제유가 변화율,Label,Code
29,SK하이닉스,2017,Q3,정보기술,0.21014933094345545,0.20553926411174528,0.008261657162303315,0.1474532539357185,0.04912421985101645,0.03934534420141787,000660
29,LG,2017,Q3,정보기술,-0.005974106358619072,9.933856387514924,0.024654622238635016,0.06267550898828977,0.04912421985101645,0.07277934922619968,003550
29,한솔테크닉스,2017,Q3,정보기술,0.093914239881027,0.5459256401096726,-0.054645621650345144,0.7689396771880659,0.04912421985101645,-0.2565304325228945,004710
29,삼성전자,2017,Q3,정보기술,0.15335686218290157,0.26590566242884606,0.14913691977748922,0.03070353887703936,0.04912421985101645,-0.06716811652335422,005930
29,삼성SDI,2017,Q3,정보기술,0.1428726843460105,26.626684963811677,0.03274711230918648,0.014718973313954775,0.04912421985101645,-0.041095324840439824,006400
29,대덕전자,2017,Q3,정보기술,-0.17839873806299716,-0.24149313769416325,-0.013150513359937777,0.46984267547916514,0.04912421985101645,-0.14864362705953385,008060
29,삼성전기,2017,Q3,정보기술,-0.018613668509199197,-0.8905124757847447,0.011935147529940293,-0.8867830423192378,0.04912421985101645,0.1190642197034259,009150
29,LG이노텍,2017,Q3,정보기술,-0.1233902077320349,1.1834276012095377,0.34579954954217285,0.09867632618206534,0.04912421985101645,-0.15998696957380687,011070
29,삼성에스디에스,2017,Q3,정보기술,0.04872766082613314,0.1681242518741164,-0.02952496688153461,0.030340848727656633,0.04912421985101645,0.3633987004836898,018260
29,일진머티리얼즈,2017,Q3,정보기술,-0.01814832852091175,-0.18987128323309543,0.10689900426742538,0.1897089602337796,0.04912421985101645,0.03964166923822829,020150
29,신도리코,2017,Q3,정보기술,-0.02085740965232627,-0.507589290831364,0.1524168514117421,0.010783822231076101,0.04912421985101645,0.1118675755158587,029530
29,LG디스플레이,2017,Q3,정보기술,-0.1126612215939316,-0.41124190392483073,0.18161588133074513,0.030946775851243835,0.04912421985101645,-0.06413068386881884,034220
29,SK,2017,Q3,정보기술,-0.05936746288273066,1.6560344027472698,0.12392517865194708,0.011650368057122273,0.04912421985101645,0.11697012905511839,034730
29,한미반도체,2017,Q3,정보기술,0.23001360984134783,0.5764379744487962,0.0031453962582936867,0.05543904879486794,0.04912421985101645,0.18465200066861137,042700
29,LG전자,2017,Q3,정보기술,0.15716939683144582,-0.6913651554467424,0.002709955888769766,0.023619133736828113,0.04912421985101645,0.24361105569604505,066570
