,name,year,quarter,sector,Relative Return,비유동자산 변화율,법인세차감전 순이익 변화율,자산총계 변화율,매출액 변화율,자본총계 변화율,비유동부채 변화율,Label,Code
19,SK하이닉스,2020,Q1,정보기술,-0.12209308332041942,0.01620179338973049,-3.417422178721152,0.023784635852980296,0.06706475320862215,-0.00031960579808698597,0.15965438664596987,-0.2760883720058567,000660
19,LG,2020,Q1,정보기술,-0.07293920663140668,-0.002173927450284552,12.594058058369466,0.06976620598058392,6.1473980120505045,0.029675840821208332,-0.08168798007712763,0.1995391026549494,003550
19,한솔테크닉스,2020,Q1,정보기술,0.5194818832059939,-0.0061285401171544684,-2.1702700977534493,0.06957139112476818,0.12348736387249293,0.06869095774180445,0.04932456144994446,0.06737267835909072,004710
19,삼성전자,2020,Q1,정보기술,-0.09696352584938125,0.002854415746063488,-0.3549781505948161,0.02031386951262859,0.07244699748760564,-0.0024821127054487357,-0.029003973457554344,-0.053462503730239364,005930
19,삼성SDI,2020,Q1,정보기술,0.17155230146981043,-0.0179960051895649,0.2612075285385933,-0.03926277704170966,-0.1629927689411944,-0.029232052668078712,-0.03460977096733331,0.26047152241687693,006400
19,대덕전자,2020,Q1,정보기술,0.134552061293167,-0.711906373959555,-0.8444590349055885,0.0023312566049609185,-1.0013849350595037,-0.6788506053988828,-0.9885205908437414,0.0,008060
19,삼성전기,2020,Q1,정보기술,0.1276368549511855,0.004446415610027232,-2.5768445635556096,0.03521604396424638,0.046834683797202015,-0.0035883404138135067,0.16576353318163806,-0.12990878472197492,009150
19,LG이노텍,2020,Q1,정보기술,0.2512662409160978,0.00973448285916878,0.22590198535814965,-0.0168367631173989,-0.3258920725054716,0.028533783971928406,-0.05214925368215639,-0.15756930251612492,011070
19,삼성에스디에스,2020,Q1,정보기술,0.09045764503192369,-0.011391031975465093,-0.19243464815112188,-0.017119415956018735,-0.12612520315749387,-0.04393011523724388,0.029542954808339017,-0.30309961655303336,018260
19,일진머티리얼즈,2020,Q1,정보기술,0.2907399251266241,0.02724420855511056,8.602172437202988,0.015725651899751503,0.01937646292987627,0.0073200260540242645,-0.0014537778308838512,-0.007013161826352032,020150
19,신도리코,2020,Q1,정보기술,0.18616272382954258,-0.0002465321375698659,0.15941789969848186,-0.01633099132602467,-0.07324584919490451,-0.01573934152697065,0.0710629760701893,-0.38990878472197493,029530
19,LG디스플레이,2020,Q1,정보기술,-0.1678129688754333,0.021646579761881002,-0.7546526221055283,-0.0032515444069024513,-0.24123330925125852,-0.031828899297990376,-0.0966928384298843,0.02031230420065827,034220
19,SK,2020,Q1,정보기술,0.04683232654818445,0.0030395751591605347,3.0193774677810516,0.047903211906979104,1.5508507190244005,0.05728688291089412,0.008399430735799074,0.02800550806970209,034730
19,한미반도체,2020,Q1,정보기술,0.0741773931405178,0.06913110985457749,0.4279495017148336,0.13357716565153055,0.059413832898216334,0.013811206078146787,0.11256652329110661,0.15102532043720257,042700
19,LG전자,2020,Q1,정보기술,0.002679899028320512,-0.00441018336167931,-2.7296195458207144,0.025296187708260698,0.03218425182104623,0.05505721703793731,0.029936047734310467,0.33889363057490535,066570
