,name,year,quarter,sector,Relative Return,Relative Return,비유동자산 변화율,법인세차감전 순이익 변화율,당기순이익(손실) 변화율,유동부채 변화율,매출액 변화율,Label,Code
19,SK하이닉스,2020,Q1,정보기술,-0.12209308332041942,-0.12209308332041942,0.01620179338973049,-3.417422178721152,-3.7038967737901713,0.0837342835349828,0.06706475320862215,-0.2760883720058567,000660
19,LG,2020,Q1,정보기술,-0.07293920663140668,-0.07293920663140668,-0.002173927450284552,12.594058058369466,36.482486378294226,2.558254138123282,6.1473980120505045,0.1995391026549494,003550
19,한솔테크닉스,2020,Q1,정보기술,0.5194818832059939,0.5194818832059939,-0.0061285401171544684,-2.1702700977534493,-2.0994337041703965,0.07520334608558521,0.12348736387249293,0.06737267835909072,004710
19,삼성전자,2020,Q1,정보기술,-0.09696352584938125,-0.09696352584938125,0.002854415746063488,-0.3549781505948161,-0.3622336429883982,0.1350300205612116,0.07244699748760564,-0.053462503730239364,005930
19,삼성SDI,2020,Q1,정보기술,0.17155230146981043,0.17155230146981043,-0.0179960051895649,0.2612075285385933,-0.17342293799121422,-0.08723149279660114,-0.1629927689411944,0.26047152241687693,006400
19,대덕전자,2020,Q1,정보기술,0.134552061293167,0.134552061293167,-0.711906373959555,-0.8444590349055885,-0.5733035931923054,4.3099951823962845,-1.0013849350595037,0.0,008060
19,삼성전기,2020,Q1,정보기술,0.1276368549511855,0.1276368549511855,0.004446415610027232,-2.5768445635556096,-2.9350252312643264,0.18650768332564738,0.046834683797202015,-0.12990878472197492,009150
19,LG이노텍,2020,Q1,정보기술,0.2512662409160978,0.2512662409160978,0.00973448285916878,0.22590198535814965,0.2677034987945057,-0.04233855930989827,-0.3258920725054716,-0.15756930251612492,011070
19,삼성에스디에스,2020,Q1,정보기술,0.09045764503192369,0.09045764503192369,-0.011391031975465093,-0.19243464815112188,-1.343446763994888,0.14316514552678705,-0.12612520315749387,-0.30309961655303336,018260
19,일진머티리얼즈,2020,Q1,정보기술,0.2907399251266241,0.2907399251266241,0.02724420855511056,8.602172437202988,7.8579842931937165,0.1453798285781378,0.01937646292987627,-0.007013161826352032,020150
19,신도리코,2020,Q1,정보기술,0.18616272382954258,0.18616272382954258,-0.0002465321375698659,0.15941789969848186,-0.439939035153756,-0.04159715858305557,-0.07324584919490451,-0.38990878472197493,029530
19,LG디스플레이,2020,Q1,정보기술,-0.1678129688754333,-0.1678129688754333,0.021646579761881002,-0.7546526221055283,-0.7812404820813639,0.10754453566622235,-0.24123330925125852,0.02031230420065827,034220
19,SK,2020,Q1,정보기술,0.04683232654818445,0.04683232654818445,0.0030395751591605347,3.0193774677810516,4.094235084973282,0.07933157102661514,1.5508507190244005,0.02800550806970209,034730
19,한미반도체,2020,Q1,정보기술,0.0741773931405178,0.0741773931405178,0.06913110985457749,0.4279495017148336,0.26891801982449204,0.9436664967095618,0.059413832898216334,0.15102532043720257,042700
19,LG전자,2020,Q1,정보기술,0.002679899028320512,0.002679899028320512,-0.00441018336167931,-2.7296195458207144,-2.4527945076406876,-0.0033529967592346166,0.03218425182104623,0.33889363057490535,066570
