,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,자산총계 변화율,부채총계 변화율,비유동자산 변화율,Label,Code
19,SK하이닉스,2020,Q1,정보기술,-0.12209308332041942,-3.7038967737901713,0.023784635852980296,0.11892224903648252,0.01620179338973049,-0.2760883720058567,000660
19,LG,2020,Q1,정보기술,-0.07293920663140668,36.482486378294226,0.06976620598058392,1.5581770269409594,-0.002173927450284552,0.1995391026549494,003550
19,한솔테크닉스,2020,Q1,정보기술,0.5194818832059939,-2.0994337041703965,0.06957139112476818,0.07058420956980749,-0.0061285401171544684,0.06737267835909072,004710
19,삼성전자,2020,Q1,정보기술,-0.09696352584938125,-0.3622336429883982,0.02031386951262859,0.12615192116306595,0.002854415746063488,-0.053462503730239364,005930
19,삼성SDI,2020,Q1,정보기술,0.17155230146981043,-0.17342293799121422,-0.03926277704170966,-0.06646583311317755,-0.0179960051895649,0.26047152241687693,006400
19,대덕전자,2020,Q1,정보기술,0.134552061293167,-0.5733035931923054,0.0023312566049609185,4.7783172407151815,-0.711906373959555,0.0,008060
19,삼성전기,2020,Q1,정보기술,0.1276368549511855,-2.9350252312643264,0.03521604396424638,0.18439798582624634,0.004446415610027232,-0.12990878472197492,009150
19,LG이노텍,2020,Q1,정보기술,0.2512662409160978,0.2677034987945057,-0.0168367631173989,-0.04583299708162236,0.00973448285916878,-0.15756930251612492,011070
19,삼성에스디에스,2020,Q1,정보기술,0.09045764503192369,-1.343446763994888,-0.017119415956018735,0.11728966163203158,-0.011391031975465093,-0.30309961655303336,018260
19,일진머티리얼즈,2020,Q1,정보기술,0.2907399251266241,7.8579842931937165,0.015725651899751503,0.06592743456287242,0.02724420855511056,-0.007013161826352032,020150
19,신도리코,2020,Q1,정보기술,0.18616272382954258,-0.439939035153756,-0.01633099132602467,-0.02313675164938367,-0.0002465321375698659,-0.38990878472197493,029530
19,LG디스플레이,2020,Q1,정보기술,-0.1678129688754333,-0.7812404820813639,-0.0032515444069024513,0.014982364522136082,0.021646579761881002,0.02031230420065827,034220
19,SK,2020,Q1,정보기술,0.04683232654818445,4.094235084973282,0.047903211906979104,0.03413207564524323,0.0030395751591605347,0.02800550806970209,034730
19,한미반도체,2020,Q1,정보기술,0.0741773931405178,0.26891801982449204,0.13357716565153055,0.8130948030511931,0.06913110985457749,0.15102532043720257,042700
19,LG전자,2020,Q1,정보기술,0.002679899028320512,-2.4527945076406876,0.025296187708260698,0.011052246902184315,-0.00441018336167931,0.33889363057490535,066570
