,name,year,quarter,sector,Relative Return,비유동자산 변화율,법인세차감전 순이익 변화율,자산총계 변화율,자본총계 변화율,영업이익 변화율,비유동부채 변화율,Label,Code
3,SK하이닉스,2024,Q1,정보기술,0.11249804517776539,0.016744415765374887,-2.498817908099369,0.01697321575665689,0.03609357235903188,5.606328350051807,0.002079855812495701,0.0056832299734496106,000660
3,LG,2024,Q1,정보기술,-0.12895686160619435,-0.0006712273122987389,7.695258401470991,0.03838706203428344,-0.012343653211819516,7.163610369805566,-0.00846815041279203,0.014990612373758504,003550
3,한솔테크닉스,2024,Q1,정보기술,-0.15300954610124376,-0.005265285699899036,-0.45422298947064643,-0.03517695960131695,-0.003795765492005554,-1.5569285044163248,-0.3591266180224736,-0.09422747279971624,004710
3,삼성전자,2024,Q1,정보기술,0.047702561994951,0.006506668574258079,-7.928767999689134,0.05129063548107782,0.032704977095417975,-2.1461279115244842,0.001105583359361173,0.0027033693163534683,005930
3,삼성SDI,2024,Q1,정보기술,0.009525937278218849,0.012498642323440556,11.151012569769714,0.04078641264513028,0.052610363931345105,-0.7893665752254819,0.07128528312032834,-0.2315671435127912,006400
3,대덕전자,2024,Q1,정보기술,-0.06674507553379483,0.026369983345946757,1.5585760032998057,0.01624771218884269,-0.010105491480299156,42.045227189506306,-0.4570157931511454,0.01728136942842861,008060
3,삼성전기,2024,Q1,정보기술,0.08718426559572137,0.025085575440972674,8.476357018294511,0.07371899669362736,0.013669042983432744,4.845551623424415,0.12446649549514466,-0.027343267338761988,009150
3,LG이노텍,2024,Q1,정보기술,0.10802436380744371,-0.014007136615492688,-0.8426752266650201,-0.049084889545149,-0.005818776965208383,-0.8469276274696967,0.06967368797480211,0.1075534805657655,011070
3,삼성에스디에스,2024,Q1,정보기술,-0.04243062980629751,0.0033645974120859456,-0.022956943215733938,-0.0031151981412576024,-0.01288454165374675,0.007035174162818292,-0.014615562718719,-0.0688738226729983,018260
3,일진머티리얼즈,2024,Q1,정보기술,0.12988259365044488,-0.22364091363796434,0.056544280426434,0.020153016081649877,0.013028037103744339,0.6220552888394646,-0.02408838898190868,-0.2064863183738475,020150
3,신도리코,2024,Q1,정보기술,0.0013086710792757292,0.005593192718556184,7.295478281571885,0.03025041979710985,0.009192071411845637,5.20063137188925,0.13685911058827505,0.05250804077341569,029530
3,LG디스플레이,2024,Q1,정보기술,-0.05333620808120056,0.02464558550207041,5.974546224927876,0.02751186146620066,0.0706813539603155,1.9632454987454389,-0.09894308233308402,0.06870928476030173,034220
3,SK,2024,Q1,정보기술,-0.14090738397954344,-0.017787923265153105,-2.3396215190232015,0.013892425257995056,0.014351133298647234,3.7406648736552413,-0.008949551111720133,-0.10748432094858457,034730
3,한미반도체,2024,Q1,정보기술,0.3914876399004474,0.17154751444137517,-0.1771356890108472,0.08974464514658731,0.12238881805097801,0.5168432300440229,0.26738004672056137,-0.15253733602420821,042700
3,LG전자,2024,Q1,정보기술,-0.04061272153304085,0.02960482935943176,-2.0335556740478418,0.04762401688092299,0.07103786422142377,-1.6798712246044825,0.012719326046750856,0.009470725120391758,066570
