,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,부채총계 변화율,이익잉여금 변화율,국제유가 변화율,Label,Code
1,SK하이닉스,2024,Q3,정보기술,0.08992808521243906,0.2981108288074521,-0.024230686680102642,0.09147430673700385,-0.05674568795778523,0.02398203218323508,000660
1,LG,2024,Q3,정보기술,0.049045669220156504,1.5440341218201206,-0.00012675460055822096,0.014191878166301075,-0.05674568795778523,-0.1723400765900766,003550
1,한솔테크닉스,2024,Q3,정보기술,-0.08271489411237727,-0.40235288758996923,0.1409492295515835,0.016664624374237436,-0.05674568795778523,-0.0054990648296937145,004710
1,삼성전자,2024,Q3,정보기술,-0.22919748518725305,-0.19776338865411824,0.031525185992780536,0.01397316425613715,-0.05674568795778523,0.012060026626759604,005930
1,삼성SDI,2024,Q3,정보기술,-0.08946737351994968,-1.1525392029625054,0.025165578302505542,-0.004758052798244816,-0.05674568795778523,-0.23323203072141702,006400
1,대덕전자,2024,Q3,정보기술,0.15248247586581212,0.14605496275466434,-0.03673133360454761,0.25388865480477496,-0.05674568795778523,0.016664177579807343,008060
1,삼성전기,2024,Q3,정보기술,-0.14076218433053553,-0.7234371456105648,-0.04945714967024817,0.12174449634536222,-0.05674568795778523,0.1832352696323284,009150
1,LG이노텍,2024,Q3,정보기술,-0.25267422180303534,-13.295698924731182,0.25708963339818136,0.022843645089141162,-0.05674568795778523,-0.006987318512606949,011070
1,삼성에스디에스,2024,Q3,정보기술,0.060844780178995965,5.689491605973878,-0.02645777877858868,0.14695428281698608,-0.05674568795778523,-0.184668388181162,018260
1,일진머티리얼즈,2024,Q3,정보기술,-0.013344156443558255,-57.369938002565426,0.05726748357905409,-0.06933610666050649,-0.05674568795778523,-0.23082985383359644,020150
1,신도리코,2024,Q3,정보기술,0.14739875270247443,-0.7766867273678177,-0.11053514031661082,0.00543901769874755,-0.05674568795778523,-0.0691847764911146,029530
1,LG디스플레이,2024,Q3,정보기술,-0.016816672104377678,-0.31307353429343576,0.01677278107358493,-1.8227196384133098,-0.05674568795778523,-0.09871884871884867,034220
1,SK,2024,Q3,정보기술,0.12210989641145588,-0.46997492411244557,0.0013387229566874659,-0.004620380249198197,-0.05674568795778523,-0.0941906513027203,034730
1,한미반도체,2024,Q3,정보기술,-0.19476319905215403,-4.099456634107114,0.1422408834983906,0.06767207384591711,-0.05674568795778523,0.03687919114989763,042700
1,LG전자,2024,Q3,정보기술,0.03059741145357381,-1.5881615386292767,0.020491226474034674,-0.07601934451954429,-0.05674568795778523,-0.15227128477411608,066570
