,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,비유동자산 변화율,자산총계 변화율,부채총계 변화율,법인세차감전 순이익 변화율,Label,Code
8,SK하이닉스,2022,Q4,정보기술,-0.06558485737004023,-3.278717069840443,0.06723750747427237,-0.04225502714156815,0.021018237930078287,-3.023846281112295,-0.0008162829245996137,000660
8,LG,2022,Q4,정보기술,0.0874591078198696,-0.6898808542216359,0.0020151782755530867,0.009078162201198392,0.21001201495045918,0.025785239827764705,-0.021585208806486254,003550
8,한솔테크닉스,2022,Q4,정보기술,0.02803631937489633,-0.7870623346293817,-0.025373335614697345,0.004983673085606322,-0.016170718893873337,-0.7349862482290458,0.17818140706246596,004710
8,삼성전자,2022,Q4,정보기술,-0.014620187333024896,-0.33425003974965195,0.07454571490714423,-0.003621542884199247,-0.061422858134908664,-0.5088010716554949,0.03281908572503358,005930
8,삼성SDI,2022,Q4,정보기술,0.050360961251584783,-0.7499956202601066,0.031071317896920414,-0.008608562489238136,-0.0468673921691809,-0.7782406131133637,-0.1574954555911215,006400
8,대덕전자,2022,Q4,정보기술,0.07393474034507283,-37.2071987801502,-0.030712503398415136,-0.027584016248877408,0.4507713911094251,-25.03214511921733,-0.07024964463828759,008060
8,삼성전기,2022,Q4,정보기술,0.08820273536102646,-1.385811354236088,0.08482870719992563,-0.008803574787338397,0.03599675577405992,-1.3790627692671398,-0.11883706181507349,009150
8,LG이노텍,2022,Q4,정보기술,-0.07709220687362783,-0.7850746271404347,0.11742938131892111,-0.09920172303961272,-0.15417785324219557,-0.7890182282917684,-0.03873947684560829,011070
8,삼성에스디에스,2022,Q4,정보기술,-0.016487149282385566,-0.8538137339564884,0.12288799576694709,0.013295166229172262,-0.004230289685309363,-0.7212549507537389,-0.07979013098223055,018260
8,일진머티리얼즈,2022,Q4,정보기술,0.04704875107561876,-2.174849170167634,0.012723772392298827,-0.023369094354496966,-0.059955297533273666,-2.4075035958285156,-0.1345877356486627,020150
8,신도리코,2022,Q4,정보기술,0.024462058572148785,-1.8511510549512897,0.0033219622269480276,-0.04608675980203292,-0.31676215739831304,-1.8779508577180892,0.02003855357259586,029530
8,LG디스플레이,2022,Q4,정보기술,0.00046341436467545183,0.4375297948575998,-0.012952608375257912,-0.07063949884542386,-0.03456508696409921,-0.2636250780172975,-0.03526271081562244,034220
8,SK,2022,Q4,정보기술,-0.23456398079473367,-2.3024982394156055,-0.0005076987794894183,-0.00645128802440087,-0.008232724087542387,-3.1552343944809245,-0.02972122647696558,034730
8,한미반도체,2022,Q4,정보기술,0.18264724034507282,-1.015820521387672,0.05981099260102196,-0.07654302373152155,-0.19520097589828844,-0.9260951790379344,0.3726371736468788,042700
8,LG전자,2022,Q4,정보기술,0.28720289175600294,-1.1316065692796995,0.036385487845955744,-0.03249135645570311,-0.038505770640246295,-0.5232338064937183,-0.09705128688246607,066570
