,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,비유동자산 변화율,자산총계 변화율,영업이익 변화율,자본총계 변화율,비유동부채 변화율,Label,Code
24,SK하이닉스,2018,Q4,정보기술,0.013620315698057415,-0.2727642075279936,0.095773582265958,0.08221800444964988,-0.3200266229148617,0.07892529139037774,-0.05930665709708749,0.022116044834338114,000660
24,LG,2018,Q4,정보기술,0.11076262153853225,-0.7770667979244857,-0.002510917896369369,-0.0038325297900534405,0.0021151039573594765,0.00680038383213355,-0.4933448563377538,-0.03998054592638056,003550
24,한솔테크닉스,2018,Q4,정보기술,-0.015083028676038336,-8.03877097890117,-0.0956295067111026,-0.151907994117373,-1.2123150310105608,-0.1071317595055471,-0.5117073337319702,-0.10454769372988504,004710
24,삼성전자,2018,Q4,정보기술,-0.022224584059598457,-0.4348647740362809,0.0227146164073897,0.005610266847145828,-0.4583206141546615,0.019623566388952796,0.6299751229742268,-0.02107237114168848,005930
24,삼성SDI,2018,Q4,정보기술,-0.041232484812600945,1.5588436479719552,0.03476591199386059,0.02756140777365923,0.36671867231300226,0.018740675894369785,0.06869783893040093,0.035160041458900955,006400
24,대덕전자,2018,Q4,정보기술,0.07095004237252954,17.450203558170347,1.449266837790549,0.8886754161196835,-0.347311963024872,0.9396622685129763,1.437531847674638,0.09486984104543747,008060
24,삼성전기,2018,Q4,정보기술,-0.0925596562907381,-0.5645278228854012,0.024062960819031698,-0.034324518272358495,-0.30765014440536054,0.0074118828466815945,-0.037234973416804706,-0.03290288743577899,009150
24,LG이노텍,2018,Q4,정보기술,0.12074609283818175,-0.3795133872944192,-0.04493592278010583,-0.04849515500294066,-0.02247619274106194,0.03793469395634608,0.11332726974846685,-0.036996867470063546,011070
24,삼성에스디에스,2018,Q4,정보기술,0.24125099060953142,-0.04093057272039291,-0.004598999392210978,0.022143059962152822,0.2647661948916207,0.014874672054599358,-0.23330737718149208,-0.09472040782301007,018260
24,일진머티리얼즈,2018,Q4,정보기술,-0.2608954266112403,-0.2650284053375611,0.05947430436795953,0.008172767683043203,-0.5359754014349163,0.0072219132587121315,0.02413571165869799,-0.07611249262822245,020150
24,신도리코,2018,Q4,정보기술,0.01480141337080514,-0.35861913732725204,-0.01374327120786123,-0.0011797057090132679,-0.7552711560273313,0.005154494375656293,0.0667572790386981,0.09859518580070091,029530
24,LG디스플레이,2018,Q4,정보기술,0.051815114210444616,-0.7986868911818804,-0.00628310575291402,-0.026822755601240256,-0.4316718064041405,0.0036305948027255397,0.06917756581873435,-0.06921067875846332,034220
24,SK,2018,Q4,정보기술,-0.02744038902663689,3.589240148091787,0.027033630591327906,0.02140057853348365,-0.6526133410337858,0.03674387683408398,0.03378907995075542,-0.03859359535774201,034730
24,한미반도체,2018,Q4,정보기술,-0.10086187709617259,-0.5606774435679487,0.020755262171659128,-0.022782721251304983,-0.5894126477318979,0.023843689697654824,-0.7061411657863215,0.020535195476559645,042700
24,LG전자,2018,Q4,정보기술,0.053427617929294735,-6.756272812711734,0.01895296100298527,-0.03523232164878809,-3.4894262831251295,-0.0882623594471662,-0.016922923031185144,-0.017636574388479785,066570
