,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,비유동자산 변화율,부채총계 변화율,영업이익 변화율,법인세차감전 순이익 변화율,소비자물가지수 변화율,Label,Code
25,SK하이닉스,2018,Q3,정보기술,0.017395274679003904,0.09636982388014359,0.05038276581506862,0.12278414180980146,0.1662657428018044,0.09852135820746488,0.0442397512820667,0.013620315698057415,000660
25,LG,2018,Q3,정보기술,-0.009626283564119015,0.1795002549719531,0.04954741396996676,-0.07305722005813209,0.2431046722583019,0.16737693928366215,0.0442397512820667,0.11076262153853225,003550
25,한솔테크닉스,2018,Q3,정보기술,-0.21888481634703838,-1.9484495336568477,-0.0062417874611487845,0.021049302769945433,-13.904596416996775,-1.9501733193736341,0.0442397512820667,-0.015083028676038336,004710
25,삼성전자,2018,Q3,정보기술,0.062292406532657496,0.26412069346501643,-3.5253892188613634e-05,0.1426557616547166,0.2591144208322378,0.2517058314007097,0.0442397512820667,-0.022224584059598457,005930
25,삼성SDI,2018,Q3,정보기술,0.07010092574828349,0.15091264131016535,0.065455296367668,0.29739663600234634,0.6382581074000999,0.36603190668174634,0.0442397512820667,-0.041232484812600945,006400
25,대덕전자,2018,Q3,정보기술,0.12574523540668203,-0.35198222151530945,-0.019255200864389477,0.07611168949909874,0.4913231654725241,-0.3966202918123545,0.0442397512820667,0.07095004237252954,008060
25,삼성전기,2018,Q3,정보기술,-0.12990380305485644,0.21082848136182641,-0.1264409909743348,0.2242858705581796,0.8572975344469458,0.43492551373362653,0.0442397512820667,-0.0925596562907381,009150
25,LG이노텍,2018,Q3,정보기술,-0.2258221704017952,110.95990042332318,0.0420322717372017,0.12435027684234257,-4.706362595575353,-32.79897064077893,0.0442397512820667,0.12074609283818175,011070
25,삼성에스디에스,2018,Q3,정보기술,-0.10468256411680334,-0.07357768761917693,0.011596615380832676,0.08140005242694981,-0.18905345778417104,-0.07357768762416828,0.0442397512820667,0.24125099060953142,018260
25,일진머티리얼즈,2018,Q3,정보기술,0.05595478280372942,-0.15907581014246697,0.014417866992851636,0.39533890341210043,0.22622538751571009,-0.10319905213270142,0.0442397512820667,-0.2608954266112403,020150
25,신도리코,2018,Q3,정보기술,-0.03563502835129913,-0.23267363246477313,-0.03237132057939385,0.13123156043322748,0.47863961929461873,-0.16446562723739055,0.0442397512820667,0.01480141337080514,029530
25,LG디스플레이,2018,Q3,정보기술,-0.09348758926415991,-1.0557785825390245,0.04795942277249532,0.06131813796867336,-1.2956794469379174,-1.2551298913100661,0.0442397512820667,0.051815114210444616,034220
25,SK,2018,Q3,정보기술,0.13480207929808474,0.3156398832385927,0.03970458187820047,0.10475208839365924,0.6354394511831378,1.945689608046794,0.0442397512820667,-0.02744038902663689,034730
25,한미반도체,2018,Q3,정보기술,-0.00910126873595464,-0.43721249108173676,-0.11241403871340261,-0.3633639385031934,-0.3795876614280177,-0.4305114734415021,0.0442397512820667,-0.10086187709617259,042700
25,LG전자,2018,Q3,정보기술,-0.007433369414909005,-0.5218774368083687,0.06164215856395061,-0.015931716577420763,-0.40310688395014704,-0.620105284134312,0.0442397512820667,0.053427617929294735,066570
