,name,year,quarter,sector,Relative Return,비유동자산 변화율,법인세차감전 순이익 변화율,자산총계 변화율,자본총계 변화율,비유동부채 변화율,영업이익 변화율,Label,Code
13,SK하이닉스,2021,Q3,정보기술,0.11491272592963268,0.07735460361172852,0.7589363921230239,0.07082611379679538,0.06438399186199928,0.03964633943247575,0.5620058968407649,0.2123586794240616,000660
13,LG,2021,Q3,정보기술,0.010826868558256687,0.01272905006349423,0.8677352898655486,0.0067417078653699836,0.009406308499947835,0.06164604093224457,1.0305742898017578,-0.08444885092536092,003550
13,한솔테크닉스,2021,Q3,정보기술,-0.13263647128451078,-0.00638878432584189,-1.978701586672126,0.005821192253499197,-0.024215907403950077,0.0025489393260622606,-7.6546545310662,0.13533450785547407,004710
13,삼성전자,2021,Q3,정보기술,0.01451133443913228,0.01240430756157651,-0.07274375759775431,0.056432278956488835,0.03328995363464893,-0.006598062156857654,0.3708405527627905,0.08021174509408492,005930
13,삼성SDI,2021,Q3,정보기술,-0.010087483715657743,0.011945170802732052,0.3113445148639711,0.006964494976570812,0.025119585578956105,0.0316517914818788,0.021285449843425397,-0.22333172265055734,006400
13,대덕전자,2021,Q3,정보기술,0.1129063564214618,0.004654947980571755,-0.5361511412479802,0.0017173464672244343,0.0022056808509745007,-0.20492668343282916,0.45131038032176796,0.03722694506725424,008060
13,삼성전기,2021,Q3,정보기술,-0.023108179224949628,0.004699703334897443,1.5324269801972408,0.0892235737903937,0.05689696073916006,0.21884892037936132,1.2692299413789496,0.03965269582859916,009150
13,LG이노텍,2021,Q3,정보기술,0.19928080979684293,0.05350537046650983,0.6803106862489123,0.2672297357685214,0.0881310932895274,-0.029069616109404395,1.3059041500149013,0.3589804087982713,011070
13,삼성에스디에스,2021,Q3,정보기술,-0.06170181052401268,0.003112365868906064,0.012686056365459386,0.006280779864990205,0.01681817943071917,-0.024144616391876705,-0.10739005070289309,-0.013977907043326895,018260
13,일진머티리얼즈,2021,Q3,정보기술,0.4144945474658236,0.03110748354158277,0.679958446887837,0.008047420544682993,0.019050121931064368,0.04366184069312817,0.3142347752282657,-0.15001491424310207,020150
13,신도리코,2021,Q3,정보기술,0.08534063963857745,0.0033791908595863784,25.62757627911112,0.10386565702828188,0.08695936121618142,0.15754995183725762,-0.4609714166484059,0.06914303230284338,029530
13,LG디스플레이,2021,Q3,정보기술,0.033904907397413586,0.018404916614343403,0.6996256920959374,0.06477390917685288,0.02225920038034679,-0.09286558597037686,-0.42346059853371254,0.007818146385124333,034220
13,SK,2021,Q3,정보기술,-0.005705290503390574,0.027718665290909383,-28.456205613797767,0.03062477559682053,-0.00047927048417728546,0.05791785909871594,5.302931145727717,0.05434460510735892,034730
13,한미반도체,2021,Q3,정보기술,-0.023206392513691568,0.010965669304860315,0.09312940872090913,0.10616407643419334,0.09612841374212677,0.14775254975039775,-0.1549462070132721,0.08164006673679003,042700
13,LG전자,2021,Q3,정보기술,-0.12891149037904137,-0.004301588831245651,-1.5698841274529332,-0.002964456013989869,-0.0019178623817566187,-0.007894540318006071,-3.5532317212926885,0.1116929810362218,066570
