,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,비유동자산 변화율,자산총계 변화율,영업이익 변화율,자본총계 변화율,비유동부채 변화율,Label,Code
30,SK하이닉스,2017,Q2,정보기술,0.09630594026553092,0.2971441226981566,0.08630506203650401,0.09585288582503027,0.2560203048406158,0.09918702652931577,0.06836191131084579,0.21014933094345545,000660
30,LG,2017,Q2,정보기술,0.0728345059379617,-0.9375709530779747,0.015653001633376018,-0.022360822457789364,-0.9007536404784194,0.004024214623509215,0.02549506125937895,-0.005974106358619072,003550
30,한솔테크닉스,2017,Q2,정보기술,-0.04798884739643876,-0.010355767179223263,0.03947613247229875,0.061877082866681254,0.03823383294032867,0.015600264217796367,0.39604465214257334,0.093914239881027,004710
30,삼성전자,2017,Q2,정보기술,-0.035921684273371696,0.2564226060518462,0.060880136377318816,0.03089378623341532,0.39678562738445167,0.022510131021490798,-0.05671900301025956,0.15335686218290157,005930
30,삼성SDI,2017,Q2,정보기술,0.08697602830662833,-0.8880045528572671,0.009450359163811095,-0.0022231037146047683,-0.5805300606973576,0.007404336401710676,-0.010941000256374345,0.1428726843460105,006400
30,대덕전자,2017,Q2,정보기술,0.1969895920239354,0.6419245844756962,-0.10465160510504878,0.003480936445589222,-0.5370784486719077,0.03897187629222909,-0.17988266218707172,-0.17839873806299716,008060
30,삼성전기,2017,Q2,정보기술,0.15996759832559693,-11.70195469152875,0.036488554712197585,0.012755035509011803,2.047940012807674,0.028217261294794183,-0.8845446993753264,-0.018613668509199197,009150
30,LG이노텍,2017,Q2,정보기술,0.20028424044636273,-0.6698026880006349,0.0493054091457803,0.03400452611396143,-0.5722414717336398,0.0098626764240195,0.05327057138368296,-0.1233902077320349,011070
30,삼성에스디에스,2017,Q2,정보기술,0.16750537547571698,0.33803334105105276,-0.005423801705181974,0.03912749533453286,0.3795082392850839,0.018498289762637787,0.5256860324216679,0.04872766082613314,018260
30,일진머티리얼즈,2017,Q2,정보기술,0.7568403036741871,0.25940836688254865,0.027325659601452834,0.049750707202682154,-0.024214471029115003,0.08082966095864363,-0.02184754215150797,-0.01814832852091175,020150
30,신도리코,2017,Q2,정보기술,0.07555076496661861,2.481283674770969,-0.017763368357557097,-7.148278310464828e-05,0.6298202777856126,0.018659037893613784,-0.03337890316335412,-0.02085740965232627,029530
30,LG디스플레이,2017,Q2,정보기술,0.016931343947018694,-0.15461355092776763,0.06838941802414622,0.05551924565876609,-0.29351485024591206,0.03780730415341882,0.28998399508535955,-0.1126612215939316,034220
30,SK,2017,Q2,정보기술,0.06368776918853691,-0.9212817512151774,0.00245687245800541,-0.0020034179759150783,-0.8728410279052796,0.0032399018793460854,0.05917078243784135,-0.05936746288273066,034730
30,한미반도체,2017,Q2,정보기술,-0.05422343559557907,2.888474787839476,-0.13750735934326663,0.006026689864352619,1.715342722959619,-0.06654509924234253,0.03007505534918864,0.23001360984134783,042700
30,LG전자,2017,Q2,정보기술,-0.11669096039191877,0.24941005676504502,-0.0001546860443368825,0.015068676247471213,0.3519277213801826,0.03885058796390228,0.0874285011516851,0.15716939683144582,066570
