,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,Relative Return,이익잉여금 변화율,영업이익 변화율,비유동부채 변화율,유동부채 변화율,Label,Code
4,유한양행,2023,Q4,헬스케어,0.09501216460727777,0.13339119871199245,0.09501216460727777,0.008934289881062263,-0.0633295483121995,-0.08804873031760818,-0.02377254315513866,-0.05938153517806958,000100
4,일동제약,2023,Q4,헬스케어,-0.18290683109768113,-1.4689917344373054,-0.18290683109768113,-0.1690850681510353,-1.1404706763148713,-0.34756059061026334,0.2538873952878127,-0.06595967810721542,000230
4,동아쏘시오홀딩스,2023,Q4,헬스케어,0.06673828483305849,-6.349401134283304,0.06673828483305849,-0.07003817712350702,-1.6711078205697558,0.016400818595343924,0.06545175022432859,-0.09398115169705518,000640
4,부광약품,2023,Q4,헬스케어,-0.031270062069607765,0.00935873807828802,-0.031270062069607765,-0.03455993105107302,-0.3601970861574121,-0.025118695444186767,1.9388922077017048,0.02739847236300402,003000
4,영진약품,2023,Q4,헬스케어,-0.16696533678456976,0.5523632090927058,-0.16696533678456976,0.21333895705723815,7.145235761352062,0.010640258511747325,0.05133022548855415,0.022138869449247443,003520
4,녹십자,2023,Q4,헬스케어,0.05349638702774506,-1.7137813210457833,0.05349638702774506,0.008884118467125779,-1.3577745271756139,-0.038480444844997574,-0.04001247854516743,-0.09395144067091342,006280
4,일양약품,2023,Q4,헬스케어,-0.129648217565095,-3.3765058191444446,-0.129648217565095,-0.249753044417925,-0.08389213246659377,0.1370516049740902,-0.14973600087655303,-0.05179431666068886,007570
4,서흥,2023,Q4,헬스케어,-0.34901971392386616,-1.9175549918691153,-0.34901971392386616,-0.003978132528984046,-0.5552615363578224,-0.7019894319655091,-0.07107997846535019,-0.0072312532263483715,008490
4,광동제약,2023,Q4,헬스케어,-0.09776234306129312,-0.49144329214982274,-0.09776234306129312,0.0006366939317234976,-0.6842317836197227,0.032910251421986336,0.003234926302652985,-0.06094678622268626,009290
4,대웅제약,2023,Q4,헬스케어,0.048743475475966636,0.011599457994778017,0.048743475475966636,0.0702847801752089,-0.06280065143681768,0.09982988020522088,0.01238780561272157,-0.1442210789928504,069620
4,한미약품,2023,Q4,헬스케어,0.029600978467908226,1.349515225149244,0.029600978467908226,0.06042852802118559,0.6466146732142257,-0.26998533955555004,0.03034064418651794,-0.06703902988820826,128940
4,동아에스티,2023,Q4,헬스케어,0.24990245783200782,-1.7633340331208613,0.24990245783200782,-0.09313933309368416,-0.6790466885887934,-0.2335498270367573,0.21266706286580628,-0.16437181620274033,170900
4,종근당,2023,Q4,헬스케어,-0.11728085040185014,1.1033134046764705,-0.11728085040185014,0.177212232631756,1.1529550408086586,0.48899806634363086,0.0502367071290577,-0.07600579313281458,185750
