,name,year,quarter,sector,Relative Return,유동부채 변화율,법인세차감전 순이익 변화율,이익잉여금 변화율,국제유가 변화율,보유 주식 수 변화율,소비자물가지수 변화율,Label,Code
4,유한양행,2023,Q4,헬스케어,0.09501216460727777,-0.02377254315513866,0.13339119871199245,0.008934289881062263,-0.03388722209400741,0.035339626270167734,0.10965773361610065,-0.05938153517806958,000100
4,일동제약,2023,Q4,헬스케어,-0.18290683109768113,0.2538873952878127,-1.4689917344373054,-0.1690850681510353,-0.03388722209400741,0.004190899099982159,0.10965773361610065,-0.06595967810721542,000230
4,동아쏘시오홀딩스,2023,Q4,헬스케어,0.06673828483305849,0.06545175022432859,-6.349401134283304,-0.07003817712350702,-0.03388722209400741,0.043348010266240244,0.10965773361610065,-0.09398115169705518,000640
4,부광약품,2023,Q4,헬스케어,-0.031270062069607765,1.9388922077017048,0.00935873807828802,-0.03455993105107302,-0.03388722209400741,0.004075581044864718,0.10965773361610065,0.02739847236300402,003000
4,영진약품,2023,Q4,헬스케어,-0.16696533678456976,0.05133022548855415,0.5523632090927058,0.21333895705723815,-0.03388722209400741,0.030436577118380326,0.10965773361610065,0.022138869449247443,003520
4,녹십자,2023,Q4,헬스케어,0.05349638702774506,-0.04001247854516743,-1.7137813210457833,0.008884118467125779,-0.03388722209400741,-0.010360535438787122,0.10965773361610065,-0.09395144067091342,006280
4,일양약품,2023,Q4,헬스케어,-0.129648217565095,-0.14973600087655303,-3.3765058191444446,-0.249753044417925,-0.03388722209400741,-0.00880539841924588,0.10965773361610065,-0.05179431666068886,007570
4,서흥,2023,Q4,헬스케어,-0.34901971392386616,-0.07107997846535019,-1.9175549918691153,-0.003978132528984046,-0.03388722209400741,0.0,0.10965773361610065,-0.0072312532263483715,008490
4,광동제약,2023,Q4,헬스케어,-0.09776234306129312,0.003234926302652985,-0.49144329214982274,0.0006366939317234976,-0.03388722209400741,-0.04683293997096094,0.10965773361610065,-0.06094678622268626,009290
4,대웅제약,2023,Q4,헬스케어,0.048743475475966636,0.01238780561272157,0.011599457994778017,0.0702847801752089,-0.03388722209400741,0.05886382716244021,0.10965773361610065,-0.1442210789928504,069620
4,한미약품,2023,Q4,헬스케어,0.029600978467908226,0.03034064418651794,1.349515225149244,0.06042852802118559,-0.03388722209400741,-0.16410236571203207,0.10965773361610065,-0.06703902988820826,128940
4,동아에스티,2023,Q4,헬스케어,0.24990245783200782,0.21266706286580628,-1.7633340331208613,-0.09313933309368416,-0.03388722209400741,0.014822728383974138,0.10965773361610065,-0.16437181620274033,170900
4,종근당,2023,Q4,헬스케어,-0.11728085040185014,0.0502367071290577,1.1033134046764705,0.177212232631756,-0.03388722209400741,-0.03717227022020275,0.10965773361610065,-0.07600579313281458,185750
