,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,이익잉여금 변화율,유동자산 변화율,자산총계 변화율,유동부채 변화율,비유동부채 변화율,Label,Code
25,유한양행,2018,Q3,헬스케어,0.11696122797582623,-0.7725285471544993,0.002199391186204158,-0.08347977513778537,-0.01991225152364151,-0.079503025538469,-0.14870158641871123,0.03716151888866581,000100
25,일동제약,2018,Q3,헬스케어,-0.008675498648981941,-0.19982563258533015,0.007490586328543047,-0.018681377841213154,0.007889504970181038,0.0326945747483951,0.015442945154965804,-0.05472955194698993,000230
25,동아쏘시오홀딩스,2018,Q3,헬스케어,0.010793714972808392,-0.19052310562703334,0.01348808036151028,0.07680802274136811,0.010592227345671779,0.0324540399495834,-0.00821686284921419,0.08551818455140023,000640
25,부광약품,2018,Q3,헬스케어,0.17143220755002925,3.077121928135237,0.1336898211937747,0.34330964881391157,0.8111624056880773,0.2337690980528606,4.773898153991246,0.02248514498143717,003000
25,영진약품,2018,Q3,헬스케어,-0.12174053774873399,0.10778988515363164,-0.17241032562001268,0.009923684535840582,0.013748076900791384,0.15082109019128898,0.013289945529583402,0.09373236051598459,003520
25,녹십자,2018,Q3,헬스케어,-0.18680988040292273,3.172127354163459,0.029056672304904607,0.028012382604242658,0.01367316150262976,0.012031284905076323,0.0018781008338200067,0.04082529363018968,006280
25,일양약품,2018,Q3,헬스케어,-0.0022308470800136704,-11.8949697962346,-1.3150226885618892,0.06715691851421202,0.019869428940576084,0.07850417624432349,-0.012354895382447273,-0.06094890592998774,007570
25,서흥,2018,Q3,헬스케어,-0.04708717561298177,-0.24962723449607038,0.023518238084738963,0.04631678052471577,0.007902528131639164,-0.30127231531988774,0.9121506799138772,-0.016285039356648892,008490
25,광동제약,2018,Q3,헬스케어,-0.12410651396372092,0.7590573162308862,0.024989489762256456,0.026053080065444156,0.01679900820035285,0.01701815077327118,-0.032428545691904676,0.13934509992846605,009290
25,대웅제약,2018,Q3,헬스케어,0.029555656404603017,-0.33545882530578,0.009410813754126446,-0.021084378228421574,0.00572605228150791,-0.27415673390966766,0.4595477169568569,0.005216954353519602,069620
25,한미약품,2018,Q3,헬스케어,0.026422122860765306,-0.8484108645531857,0.03991520331330434,-0.05042755557786005,-0.00556722076184768,-0.03221928231631643,0.009496443927240916,0.0486003119179495,128940
25,동아에스티,2018,Q3,헬스케어,0.021830110025690054,-0.7496327224336851,0.05175873301459255,0.010140214905998146,-0.0013257625303010334,-0.02449677121524252,-0.015874500814270887,0.0076486459547252285,170900
25,종근당,2018,Q3,헬스케어,-0.025548812158209394,0.0510449521669567,0.119754889929518,0.0005178583146305815,-0.000265860741939683,-0.06902898446732797,0.026546763399206696,0.10650644290266467,185750
