,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,이익잉여금 변화율,유동자산 변화율,자산총계 변화율,유동부채 변화율,비유동부채 변화율,Label,Code
24,유한양행,2018,Q4,헬스케어,0.03716151888866581,2.300512352735237,0.012335530886748547,-0.005459921471109408,0.016809754577378877,-0.004307934446291739,0.08072887649939875,-0.0043811838837226336,000100
24,일동제약,2018,Q4,헬스케어,-0.05472955194698993,-0.7698532182633453,-0.001742154985232447,-0.00218865849575689,-0.005582462984701886,-0.04073789137642381,0.028342481690915022,0.10398841392456162,000230
24,동아쏘시오홀딩스,2018,Q4,헬스케어,0.08551818455140023,-20.543943413094897,-0.2332457542116142,-0.49238563938296687,-0.1239531507717293,-0.1734301518375473,0.1924070556489188,0.016111266024000447,000640
24,부광약품,2018,Q4,헬스케어,0.02248514498143717,3.129110197326991,0.4800378668231995,-0.06262034426244545,-0.08235606175719468,-0.02969726124202343,-0.22991676981168496,-0.13773146786338733,003000
24,영진약품,2018,Q4,헬스케어,0.09373236051598459,-0.380827132840312,-0.2676790360651474,0.01219006152116453,-0.012277556381197652,0.03896328876505084,-0.007757092618152495,-0.053645883868767064,003520
24,녹십자,2018,Q4,헬스케어,0.04082529363018968,-0.6939640101705024,0.000866385356321997,-0.05959692521875437,-0.007030248808175266,-0.010488672701122526,-0.02545976334838651,-0.08976268973753454,006280
24,일양약품,2018,Q4,헬스케어,-0.06094890592998774,1.23337106798982,11.170356588260079,-0.2157544600177579,-0.07460743030415584,-0.09285447828959648,-0.07926697293020446,-0.07533507582895178,007570
24,서흥,2018,Q4,헬스케어,-0.016285039356648892,0.04302986525031227,0.02936098861262737,0.005798064459943797,-0.021790779305419394,0.046597750933360826,-0.1412866582800678,0.0586074972270033,008490
24,광동제약,2018,Q4,헬스케어,0.13934509992846605,-0.5825630251930789,0.007554684184541971,-0.046211762409756996,-0.02517573988080446,-0.07210736490653236,-0.033017916730059826,0.012140336302373156,009290
24,대웅제약,2018,Q4,헬스케어,0.005216954353519602,-2.1159173721478552,-0.041155497744944536,-0.006123267058243509,0.0014459213467914456,0.4658873953541076,-0.3068782575304466,-0.015594779739757238,069620
24,한미약품,2018,Q4,헬스케어,0.0486003119179495,-3.3388823189550325,-0.0975112142774488,-0.21976340105968406,-0.042942495662636415,-0.22789032473966042,0.16976597092148205,-0.0900411324375388,128940
24,동아에스티,2018,Q4,헬스케어,0.0076486459547252285,-3.581188073132869,-0.1636951112908508,0.010237366656733915,-0.0019246631699922911,0.36794572377856416,-0.32960026213001625,0.046891671499857956,170900
24,종근당,2018,Q4,헬스케어,0.10650644290266467,-0.03478196982481763,0.0986049989579516,0.05649360431243755,0.03988157792774283,-0.027041223522240032,0.4807051219531038,-0.05783276733538216,185750
