,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,이익잉여금 변화율,유동자산 변화율,자산총계 변화율,유동부채 변화율,비유동부채 변화율,Label,Code
1,유한양행,2024,Q3,헬스케어,0.5302977539193272,0.27259044526318665,0.012573441226012338,-0.003669840993373197,-0.0066816994447302935,-0.09838954993497584,0.06624320322990718,-0.07720671896762361,000100
1,일동제약,2024,Q3,헬스케어,-0.0836245273219364,-1.1437246559662149,31.716919744434747,1.6373319533050092,0.08752010330021154,-0.3401688075211212,2.49232193818955,-0.20398249218684314,000230
1,동아쏘시오홀딩스,2024,Q3,헬스케어,0.10673495881254522,-2.984539108470846,0.028743215831971147,-0.13010479838845324,-0.004910924110604564,-0.07783856964585922,-0.00378197968592342,-0.23453288397382438,000640
1,부광약품,2024,Q3,헬스케어,-0.09209426705591194,-2.5578628588532206,0.023083076046027662,0.021846864816604583,0.014031449765667503,-9.68762697549641e-05,0.008559537192190048,-0.04565820476570984,003000
1,영진약품,2024,Q3,헬스케어,-0.06584683970613461,-0.760715876097941,0.02509342349523558,-0.03315629040655388,0.0022005261289845812,-0.006367677107354308,0.027070168824064877,-0.1258934633327838,003520
1,녹십자,2024,Q3,헬스케어,0.04124822995500206,4.650367060347576,0.03269597688889214,0.08192027040074312,0.0313843527014348,0.0730194639657673,0.0009528555059867827,-0.15797906405163326,006280
1,일양약품,2024,Q3,헬스케어,-0.10442076528020697,4.462819950094234,0.11334299168733297,0.09590338206196702,0.06732039310230031,0.08724986437820914,0.40987328205044005,-0.1394667832167833,007570
1,서흥,2024,Q3,헬스케어,-0.11364233772798789,0.5147948347310454,0.01838010243535959,-0.06178718568075103,-0.025590544858913655,-0.31977776929194324,99.12050876458018,-0.01841855113717534,008490
1,광동제약,2024,Q3,헬스케어,-0.01670221699653235,-0.7074566154214952,0.0003350794641454602,0.03599635773442733,0.04677383835284776,0.1162224600557904,0.006602295845326234,-0.05928031072439577,009290
1,대웅제약,2024,Q3,헬스케어,0.18916351023857117,-0.13595953161847085,0.048523685248212045,-0.0017580624693843694,0.023565612744149256,-0.15214303929817086,0.23781378637835027,-0.20194085745879306,069620
1,한미약품,2024,Q3,헬스케어,0.21547402246704772,-0.4225405972250941,0.04428564684762493,0.001959447694869665,-0.0005941438829027978,-0.0683964248324147,0.3991443684512459,-0.30605436230436234,128940
1,동아에스티,2024,Q3,헬스케어,0.11852063188702255,-0.8445491190548632,0.007508408077628204,-0.038938769899092396,-0.013059390295617423,-0.2969632617336878,0.17999952351395687,-0.4241662321269875,170900
1,종근당,2024,Q3,헬스케어,-0.04205449869618158,-0.2690293887698467,0.03413176623655456,-0.008864632490020119,-0.0034147603402905347,-0.2292527690756644,1.0251548407795874,-0.2286742086199372,185750
