,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,이익잉여금 변화율,유동자산 변화율,자산총계 변화율,유동부채 변화율,비유동부채 변화율,Label,Code
20,유한양행,2019,Q4,헬스케어,0.256782615726154,-0.15116881991300057,0.00034013247637565414,-0.004017854572321178,0.0034810312810176214,0.10214117528084454,-0.39584211783140366,0.05294228616675725,000100
20,일동제약,2019,Q4,헬스케어,-0.15917565580621104,-88.80281393583378,-0.42940857929066034,-0.21893522047446534,-0.08480892416031194,-0.006836734921527143,0.02798513121726076,0.1708108043303641,000230
20,동아쏘시오홀딩스,2019,Q4,헬스케어,0.06765016639434585,-1.736657362893659,-0.024302305618690734,-0.13795426308170022,-0.012499795527251556,-0.0066587161806750395,-0.014631161100758905,-0.01520887294945869,000640
20,부광약품,2019,Q4,헬스케어,0.4942607469637431,-6.173370170624621,0.02073222304861866,-0.0014739856591508005,0.024277733064020257,0.25138093087870517,-0.1915074227001562,0.33822603827409736,003000
20,영진약품,2019,Q4,헬스케어,-0.038869018300790426,-1.244596289939372,-0.2219807761830318,0.02620775889399729,0.017633773106621176,0.38206266635484654,-0.07436440329368732,0.07283381172024125,003520
20,녹십자,2019,Q4,헬스케어,0.158163355799929,-1.7658717555028831,-0.034520063879225904,-0.06568048154134543,0.013292229972193814,0.03038135318296331,0.12270564395854922,0.12251460977212217,006280
20,일양약품,2019,Q4,헬스케어,0.533506131293737,0.48896089768646367,0.23377008271149724,-0.09141527066418886,-0.03487991449420291,-0.06043279659484979,-0.11388319221207177,0.012445188284518849,007570
20,서흥,2019,Q4,헬스케어,0.18604052287442419,0.6964037037237332,0.03741500424114652,-0.041800014190116475,-0.01912992373985667,-0.010920778625367555,-0.11717179686521129,0.31011104855083893,008490
20,광동제약,2019,Q4,헬스케어,-0.14322553308895988,-0.30475561990262634,0.011107144060980678,0.06556283189333079,0.041563066088135425,0.1573468124131645,-0.1577267012860183,0.22469194663422415,009290
20,대웅제약,2019,Q4,헬스케어,-0.22784965535248733,-6.849240107071699,0.006685331432777941,-0.014289222443614857,0.004989259292537129,-0.038224742993692384,0.040018172126249585,0.19327775825907356,069620
20,한미약품,2019,Q4,헬스케어,-0.024137604777819954,171.15736596244645,-0.017793188954355443,-0.08123259655247916,-0.021003528073931688,-0.056249327457422504,0.005995931415992084,-0.08863229393828863,128940
20,동아에스티,2019,Q4,헬스케어,-0.06196697671199214,-0.1844990762116434,0.08324770291364403,-0.11314006345232142,-0.03388535180052055,-0.05944289822814741,-0.21133158514094397,0.03913915501463555,170900
20,종근당,2019,Q4,헬스케어,0.01864554738401633,0.003982882009188282,0.102299123313214,0.05199209957799655,0.03980195000314235,0.12213109345005746,-0.2845004173378354,0.2622179475173498,185750
