,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,영업이익 변화율,부채총계 변화율,국제유가 변화율,수출액 변화율,소비자물가지수 변화율,Label,Code
7,유한양행,2023,Q1,헬스케어,0.08422430114085966,-6.5177214124346055,-0.0651426491128384,0.06037432295580314,-0.08337411073888668,-0.06497623491867566,-0.11353477832962133,0.29034291902187653,000100
7,일동제약,2023,Q1,헬스케어,-0.07049849609311148,-1.046253383432067,0.4799934821093146,0.012672906936398887,-0.08337411073888668,-0.06497623491867566,-0.11353477832962133,-0.04564954330338757,000230
7,동아쏘시오홀딩스,2023,Q1,헬스케어,-0.08179994737427296,-2.8533858947412565,-11.369286233580455,0.22682816533536476,-0.08337411073888668,-0.06497623491867566,-0.11353477832962133,0.04921519946166719,000640
7,부광약품,2023,Q1,헬스케어,-0.016555608896838294,-4.842084872075212,-1.2935060535470067,-0.10007719417099126,-0.08337411073888668,-0.06497623491867566,-0.11353477832962133,-0.16834066751682053,003000
7,영진약품,2023,Q1,헬스케어,-0.0429975109636127,-0.9718306425729647,-1.1969517796446858,0.03863567060755657,-0.08337411073888668,-0.06497623491867566,-0.11353477832962133,-0.12751493529536184,003520
7,녹십자,2023,Q1,헬스케어,0.02518955971872306,-0.37913322103925895,2.743704683343116,0.11195796101088695,-0.08337411073888668,-0.06497623491867566,-0.11353477832962133,-0.0883642258291437,006280
7,일양약품,2023,Q1,헬스케어,-0.03270437844605266,8.189328037181047,-0.2630721458759643,-0.016586999142045977,-0.08337411073888668,-0.06497623491867566,-0.11353477832962133,-0.04376133949357327,007570
7,서흥,2023,Q1,헬스케어,-0.07148922121958703,-2.9180971983712243,2.3378117036585104,0.061441503362574146,-0.08337411073888668,-0.06497623491867566,-0.11353477832962133,-0.08711301426865378,008490
7,광동제약,2023,Q1,헬스케어,0.04456560647099108,0.2565552350675542,0.31785822590922486,0.11793990881068006,-0.08337411073888668,-0.06497623491867566,-0.11353477832962133,0.05405369388834563,009290
7,대웅제약,2023,Q1,헬스케어,0.01965366423819441,-1.750010166994259,1.0237101773606212,0.042208163121446596,-0.08337411073888668,-0.06497623491867566,-0.11353477832962133,-0.06986015896270115,069620
7,한미약품,2023,Q1,헬스케어,0.1040982669244066,2.2791613867018037,0.22070172382322562,-0.0018491743535981042,-0.08337411073888668,-0.06497623491867566,-0.11353477832962133,0.05126414257970115,128940
7,동아에스티,2023,Q1,헬스케어,-0.05285487742783433,-1.5752040437093355,0.6103519290321331,0.04703348027841314,-0.08337411073888668,-0.06497623491867566,-0.11353477832962133,0.22828194819849823,170900
7,종근당,2023,Q1,헬스케어,0.050323351298373425,1.231104497447058,1.0018480307925626,0.049000686932415105,-0.08337411073888668,-0.06497623491867566,-0.11353477832962133,-0.04224943360334718,185750
