,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,Relative Return,이익잉여금 변화율,영업이익 변화율,비유동부채 변화율,유동부채 변화율,Label,Code
34,유한양행,2016,Q2,헬스케어,-0.021322660882138945,-0.7872010466710836,-0.021322660882138945,0.00778925058490243,-0.04604792536088487,0.10014087690932993,0.20720713009573544,-0.28882475635575133,000100
34,일동제약,2016,Q2,헬스케어,-0.017564600762572644,-1.052725249191915,-0.017564600762572644,0.02397429260698436,-1.0325129179033725,-0.775054994989411,3.3117365106275365,0.0,000230
34,동아쏘시오홀딩스,2016,Q2,헬스케어,-0.11475335845004679,-1.6559573096282887,-0.11475335845004679,-0.023555580402214504,-1.495702784089724,-0.862868708618763,-0.02159276483543804,-0.09565615732344623,000640
34,부광약품,2016,Q2,헬스케어,-0.03692754308589987,-0.5874890321578856,-0.03692754308589987,0.02391376667468781,0.917003647797161,0.08374667374439149,-0.588193801083063,-0.1251943868695893,003000
34,영진약품,2016,Q2,헬스케어,0.36828605154656463,0.5083083967533952,0.36828605154656463,0.19397707890492022,0.4436198187429212,0.009537006136803639,-0.030521307074259707,-0.17987018730530918,003520
34,녹십자,2016,Q2,헬스케어,-0.00951536102852494,2.176314883831057,-0.00951536102852494,0.031106672788698164,1.9115430429517484,1.6371169669168135,-0.16107105598438243,-0.09427004078851697,006280
34,일양약품,2016,Q2,헬스케어,0.028678102094541358,-1.0043782522193354,0.028678102094541358,0.018594804707566137,-0.738959482703897,0.19630452824215316,-0.03190265221084676,-0.16573600366504107,007570
34,서흥,2016,Q2,헬스케어,-0.18526692966740427,0.7026084363126823,-0.18526692966740427,0.03285636289274585,0.4426158661316839,-0.012992358822073502,0.20732454667629718,-0.02161304775481084,008490
34,광동제약,2016,Q2,헬스케어,-0.1682829088470521,0.32466300226314515,-0.1682829088470521,0.035919435120392196,0.30536581774563776,-0.3248311123237808,0.1483053698417105,-0.08789709631564545,009290
34,대웅제약,2016,Q2,헬스케어,-0.04941339463599255,0.20949932315833242,-0.04941339463599255,0.005681273563482581,0.13351529317813826,0.5425254241981399,0.06473094457555839,-0.12977171519674705,069620
34,한미약품,2016,Q2,헬스케어,0.01591318406980318,-0.30919942799676403,0.01591318406980318,0.11267127970815238,-0.992399187371041,-0.01889307416549324,-0.08838121558968459,-0.35232659770494706,128940
34,동아에스티,2016,Q2,헬스케어,-0.223189394356491,-1.8500452050733502,-0.223189394356491,-0.04255609583749442,-0.3024198839924287,-0.2853349368808338,0.18957033868511663,-0.15184869715713867,170900
34,종근당,2016,Q2,헬스케어,-0.05839963844039004,0.32494892155136634,-0.05839963844039004,0.3313124381342538,0.2807950001749586,0.013464835461281632,0.0633989675636788,-0.06398958091444784,185750
