name,sector,year,quarter,유동자산_lag1,비유동자산_lag1,자산총계_lag1,유동부채_lag1,비유동부채_lag1,부채총계_lag1,이익잉여금_lag1,자본총계_lag1,매출액_lag1,영업이익_lag1,법인세차감전 순이익_lag1,당기순이익_lag1,당기순이익(손실)_lag1,자본금_lag1,유동자산_lag2,비유동자산_lag2,자산총계_lag2,유동부채_lag2,비유동부채_lag2,부채총계_lag2,이익잉여금_lag2,자본총계_lag2,매출액_lag2,영업이익_lag2,법인세차감전 순이익_lag2,당기순이익_lag2,당기순이익(손실)_lag2,자본금_lag2,유동자산_lag3,비유동자산_lag3,자산총계_lag3,유동부채_lag3,비유동부채_lag3,부채총계_lag3,이익잉여금_lag3,자본총계_lag3,매출액_lag3,영업이익_lag3,법인세차감전 순이익_lag3,당기순이익_lag3,당기순이익(손실)_lag3,자본금_lag3,유동자산_lag4,비유동자산_lag4,자산총계_lag4,유동부채_lag4,비유동부채_lag4,부채총계_lag4,이익잉여금_lag4,자본총계_lag4,매출액_lag4,영업이익_lag4,법인세차감전 순이익_lag4,당기순이익_lag4,당기순이익(손실)_lag4,자본금_lag4,Label,code
경방,경기소비재,2016,Q4,0.06144946929190653,1163744551249.0,1239938088758.0,111285390324.0,436900394072.0,0.44210738372034153,678276437248.0,0.5578926162796585,75683341205.0,0.12717443302257547,7763394315.0,0.08028984553602862,6076603775.0,13104338886.03355,0.06550333973939969,1166585199462.0,1248356734776.0,124259141712.0,438422097830.0,0.4507375366889539,672199833473.0,0.5492624633110461,78285042550.0,0.1376741582290933,9014162562.0,0.15714968054264664,12302469428.0,13111566142.961166,0.06511559097061582,1176700657273.0,1258658980627.0,141872585390.0,443413538931.0,0.4650077052876071,659897364045.0,0.5349922947123928,77537494571.0,0.11197272854941084,6427075130.0,0.06485024065867427,5028325183.0,13115082174.650076,0.06650198658177163,1175752271361.0,1259512344387.0,143915877146.0,443825602187.0,0.4666420952142804,658295947612.0,0.5333579047857195,307744479868.0,0.12552597595761728,28221123638.0,0.07020344686691653,21604723241.0,13094418074.730276,-0.32670283184319215,000050
하이트진로,생활소비재,2016,Q4,0.21006904849947036,2578823075029.0,3264618344338.0,1320184023453.0,617014177372.0,0.5933919363605811,334916740351.0,0.4066080636394189,421712063432.0,0.059299001383754185,9357067465.0,0.015113993114469563,6373753223.0,368842230000.0,0.21442524538210275,2579743962483.0,3283893668067.0,1351434869736.0,612373364550.0,0.5980121260874922,328542987128.0,0.40198787391250784,434765746460.0,0.06283421358152778,18585856469.0,0.026016354989089864,11311019997.0,368842230000.0,0.20165041714256543,2613160229101.0,3273202974251.0,1298062873629.0,666077142616.0,0.6000666722155994,317231967131.0,0.39993332778440055,353358132663.0,0.07277939542296216,22235444328.0,0.04804241690169416,16976178725.0,368842230000.0,0.21463036463543558,2620429747656.0,3336555972704.0,1359569745482.0,616896523223.0,0.592367184867946,370095084856.0,0.4076328151320539,1663246296988.0,0.07440697999635641,68166523496.0,0.02841213984758443,47256386391.0,368842230000.0,-0.31598613136989906,000080
유한양행,헬스케어,2016,Q4,0.49713892628141043,834602575266.0,1659708056331.0,249518841224.0,61238714375.0,0.18723627593034037,1243227071355.0,0.8127637240696597,359667047954.0,0.04434437710023366,6564831308.0,0.012819427140263608,4610725516.0,52730743422.723305,0.5186515043015533,813379624198.0,1689793634896.0,270235752263.0,75386773969.0,0.2045353462662745,1238806186688.0,0.7954646537337255,330473629577.0,0.05321398097787564,14928787879.0,0.030780373568747674,10172101773.0,53210096245.77261,0.514712446113089,782784934445.0,1613033196865.0,223852018039.0,68524654934.0,0.1812589310258752,1229231395323.0,0.8187410689741248,274248066982.0,0.06721905897776097,70154423438.0,0.20043636374876567,54969285311.0,51388946188.735016,0.5104018752380588,775726533426.0,1584414837788.0,240243175602.0,58404647986.0,0.18849092830066017,1195405098826.0,0.8115090716993398,1120937093634.0,0.06306602556510826,145249637810.0,0.0958882274539976,107484670996.0,51068055601.19166,-0.2811505033075994,000100
CJ대한통운,산업재,2016,Q4,0.2272635049281474,3163684483419.0,4094131057088.0,643633712443.0,1152431129620.0,0.4386925618693977,425085799231.0,0.5613074381306024,1196076907519.0,0.03135272962821941,-2706288338.0,-0.0025575669171185016,-3059046729.0,114061720000.0,0.24212782084471832,3049668803371.0,4023988328441.0,1032145759009.0,690688687860.0,0.42814101489615203,428144845960.0,0.571858985103848,1215280930442.0,0.033482780801308724,11738411159.0,0.005579445971832937,6780594292.0,114061720000.0,0.23171938699760428,2986268738015.0,3886950532755.0,1117175481700.0,475659918003.0,0.4097904993336839,421364251668.0,0.5902095006663162,1158570893509.0,0.0284294920660754,10398176816.0,0.011562676073646706,13396179950.0,114061720000.0,0.24612461123970408,2816466756993.0,3735984486275.0,979248277868.0,476247048991.0,0.3895881613550853,407968071718.0,0.6104118386449148,4358425407795.0,0.02703241740062416,-16910477366.0,-0.002838471743000147,-12371267364.0,114061720000.0,-0.34942450672003966,000120
두산,산업재,2016,Q4,0.20415667668302645,2904381254912.0,3649438488479.0,969092144378.0,545798289129.0,0.4151023337670696,1772048394212.0,0.5848976662329304,448939372398.0,0.03355876358655309,167619226.0,0.0014766098314324485,662908291.0,134838235000.0,0.20318264890976692,2917978988170.0,3662042479594.0,1008927228764.0,519684756953.0,0.41742060454920576,1771385485921.0,0.5825793954507942,597986068439.0,0.25755521986832186,141957733781.0,0.2348642589460706,140445554824.0,134838235000.0,0.21686769011859428,2865860921766.0,3659484975406.0,1143507366116.0,491910064787.0,0.44689824986139187,1630939931097.0,0.5531017501386082,453593167614.0,0.1566480602778086,36804612719.0,0.07116964415890735,32282064332.0,134838235000.0,0.20514316840540736,2764689051997.0,3478222671183.0,870353876177.0,498612485850.0,0.3935821514156804,1689925025615.0,0.6064178485843196,1873556345748.0,0.11390165100468412,160034887467.0,0.06582329914596946,123323659813.0,134838235000.0,-0.30976787526080707,000150
대림산업,건설,2016,Q4,0.63912180530582,3741791847369.0,10368572838101.0,4128767069289.0,1613577138244.0,0.5538220444796247,3919757669345.0,0.44617795552037537,2172712123842.0,0.04948176476545409,41989706354.0,0.009419495956422564,20465853065.0,193330294404.77515,0.6479420912742111,3729401495294.0,10593147896583.0,4340576700206.0,1610418073651.0,0.5617777484043808,3899291816280.0,0.4382222515956192,2210545189087.0,0.05370864592459926,39228444158.0,0.006011358127217643,13288378788.0,195736485184.99026,0.645632582889994,3733854031899.0,10536674230238.0,4400415810411.0,1511820951845.0,0.561110330742612,3886003437492.0,0.4388896692573881,1927981565892.0,0.030539485020832542,111015241885.0,0.028297967848960326,54557960365.0,195637120834.5674,0.6358110460230176,3732997930990.0,10250167914829.0,4341088146490.0,1322734115064.0,0.5525589735325314,3843215477127.0,0.4474410264674686,8135324528905.0,0.05220232489485721,254823503807.0,0.015619630026622122,127070759288.0,179314346937.57416,-0.3367470938356443,000210
일동제약,헬스케어,2016,Q4,0.3375381191181297,92349196831.0,139403035097.0,13820974548.0,20130837409.0,0.24355145448142868,532493267957.0,0.7564485455185713,3981134964.0,-0.2080712870803342,-1172273482.0,63.81936048676997,254073487414.0,2903214407.6158657,0.8478193573572151,107769781096.0,708170101167.0,831313724452.0,35887677177.0,1.2245665274486044,278419780543.0,-0.2245665274486043,6075522323.0,-0.04612859258849932,-413435525.0,1.0729345092392313,6518637562.0,6694041131.158883,0.4078044939383567,412150094388.0,695969642068.0,192802533829.0,159539782514.0,0.5062610422145026,271901142981.0,0.4937389577854974,122977621844.0,0.07009253825817542,7841319507.0,0.05375031841471979,6610086332.0,21975065759.470947,0.4112924046888681,405548410872.0,688879189095.0,193574281411.0,150271342753.0,0.49913777278671995,272502732424.0,0.50086222721328,458569227977.0,0.05389708126084647,22534347425.0,0.04695297029847785,21531187341.0,19375532239.70066,-0.37336082408199545,000230
한국타이어월드와이드,경기소비재,2016,Q4,0.23739664405665284,1729359970510.0,2267705691343.0,21567210709.0,60641546107.0,0.0362519515340254,843728753660.0,0.9637480484659746,91112564151.75435,0.09324210261331363,13496215474.0,0.11327013492684461,10320332435.0,38330631233.774826,0.23220864979663822,1731279155480.0,2254882338830.0,20401757217.0,59706202880.0,0.03552644797358515,833408421225.0,0.9644735520264148,19284560637.0,0.45971076328234833,11287691525.0,0.4523221226655318,8722833402.0,38410482878.78468,0.2380205026112555,1730501449459.0,2271060383369.0,47373122965.0,58455070440.0,0.04659858195756529,824685587776.0,0.9534014180424347,32363934001.0,0.7076220313109147,23786589506.0,0.644171672651286,20847929499.0,38077821548.902596,0.17353395103492708,2204129580115.0,2666933000908.0,12788124299.0,87500913886.0,0.03760463354379544,1255925337803.0,0.9623953664562046,223646645298.0,0.8118176697221563,188075605582.0,0.7722143424413102,172703147138.0,48157688096.10738,-0.3069042040253178,000240
기아차,경기소비재,2016,Q4,0.3230915833956878,23138271000000.0,34182277000000.0,7316832000000.0,4889007000000.0,0.3570809223738957,17665508592267.9,0.6429190776261043,6703963000000.0,0.02769376859627656,270355000000.0,0.033910986680564914,227338000000.0,1137315642836.1633,0.35412855165647356,23203453000000.0,35925807000000.0,9110810000000.0,5054880000000.0,0.3943040166084509,18107853701591.62,0.6056959833915492,8347585000000.0,0.0720383200650248,628184000000.0,0.05787314534682785,483101000000.0,1189751655205.7607,0.3697944667563238,22838358000000.0,36239539000000.0,10727140000000.0,4096026000000.0,0.40903296258818306,18259737793162.168,0.590967037411817,7806454000000.0,0.08189826008069732,1308067000000.0,0.1487037520492659,1160849000000.0,1208928676626.5713,0.36118925348836634,21710875000000.0,33986396000000.0,9277848000000.0,4707821000000.0,0.41150785743801727,16130840000000.0,0.5884921425619828,32699936000000.0,0.07018258384358918,3016428000000.0,0.07668966079933612,2507747000000.0,1331402942727.9717,-0.38831014294174104,000270
조선내화,철강_소재,2016,Q4,0.35559203649671295,379217904040.0,588474887831.0,118107135805.0,8358512736.0,0.21490407009061496,356667302072.0,0.785095929909385,113616953501.0,0.0517819926226786,5445744754.0,0.036560463883265795,4153888525.0,17093714476.50755,0.3731669905201304,366722162705.0,585039647177.0,129583635494.0,5640051241.0,0.23113593649164932,352513413547.0,0.7688640635083507,112129395175.0,0.04713225246378843,8890011580.0,0.05504472565260138,6172131795.0,16717751390.19738,0.37227252384699944,367128795738.0,584853793541.0,127477711050.0,8713338402.0,0.23286341125947163,346341281752.0,0.7671365887405284,116809756299.0,0.058988908164163245,10116285323.0,-0.04358603267665225,-5091273855.0,16567243635.03675,0.38420206398130397,355501648003.0,577302435116.0,122027165453.0,5085679230.0,0.22018414777249057,364432555607.0,0.7798158522275094,468201027686.0,0.047261297593391975,44794392375.0,0.07431179912815976,34792860721.0,14591965165.591167,-0.3136894084849411,000480
