,name,sector,year,quarter,유동자산_lag1,유동자산_lag2,유동자산_lag3,유동자산_lag4,비유동자산_lag1,비유동자산_lag2,비유동자산_lag3,비유동자산_lag4,자산총계_lag1,자산총계_lag2,자산총계_lag3,자산총계_lag4,유동부채_lag1,유동부채_lag2,유동부채_lag3,유동부채_lag4,비유동부채_lag1,비유동부채_lag2,비유동부채_lag3,비유동부채_lag4,부채총계_lag1,부채총계_lag2,부채총계_lag3,부채총계_lag4,이익잉여금_lag1,이익잉여금_lag2,이익잉여금_lag3,이익잉여금_lag4,자본총계_lag1,자본총계_lag2,자본총계_lag3,자본총계_lag4,매출액_lag1,매출액_lag2,매출액_lag3,매출액_lag4,영업이익_lag1,영업이익_lag2,영업이익_lag3,영업이익_lag4,법인세차감전 순이익_lag1,법인세차감전 순이익_lag2,법인세차감전 순이익_lag3,법인세차감전 순이익_lag4,당기순이익_lag1,당기순이익_lag2,당기순이익_lag3,당기순이익_lag4,당기순이익(손실)_lag1,당기순이익(손실)_lag2,당기순이익(손실)_lag3,당기순이익(손실)_lag4,자본금_lag1,자본금_lag2,자본금_lag3,자본금_lag4,Label,Code
0,경방,경기소비재,2019,Q1,0.07187631999769069,0.06578589527217742,0.06325777210111783,0.06419429336794,1138385813705.0,1131249732141.0,1126451810394.0,1124982619291.0,1226545382079.0,1210910567948.0,1202520583406.0,1202154048985.0,102888605202.0,90807836605.0,246222084406.0,251451414217.0,394471067860.0,396977541778.0,237521733289.0,238368469515.0,0.40549634797774303,0.4028252715719522,0.40227487526646055,0.40745184375127597,721795950156.0,712930153348.0,706966487057.0,698901709648.0,0.594503652022257,0.5971747284280478,0.5977251247335394,0.592548156248724,72868772132.0,66783712661.0,72681515367.0,66751216872.0,0.13685405040083928,0.14299513934595628,0.13326452433045624,0.14627201554576627,10045528630.0,7651044674.0,10385940673.0,8076288984.0,0.12166798682897834,0.08929821439056697,0.11096050169396574,0.09444039140272709,8865796808.0,5963666291.0,8064777409.0,6304011048.0,13707635000.0,13707635000.0,13707635000.0,13707635000.0,-0.3496702472180735,000050
1,하이트진로,생활소비재,2019,Q1,0.2615812010472525,0.22500520944205313,0.22509493584409787,0.2451583760734102,2449113402039.0,2396513822987.0,2409753311960.0,2411501279319.0,3316699690626.0,3092296686616.0,3109740048718.0,3194711583040.0,1567567295740.0,1326780260111.0,1383504897338.0,1282017350469.0,532765192290.0,528647314634.0,496336143032.0,691562305939.0,0.6332597714427318,0.6000160278202329,0.6045010228893474,0.6177645790891695,227021472911.0,247523382186.0,240553278663.0,231786196947.0,0.36674022855726823,0.39998397217976706,0.3954989771106526,0.3822354209108305,414239137121.0,438495919009.0,434445744223.0,370440897398.0,0.05131403186510357,0.058712709863262345,0.05614951570909775,0.05035611864409848,8375883929.0,12313219239.0,14172616597.0,7975594840.0,0.010649650710602442,0.01589548094028428,0.020179923114863975,0.012861870615438488,4411502121.0,6970103523.0,8767081716.0,4764562893.0,368842230000.0,368842230000.0,368842230000.0,368842230000.0,-0.2718684843110748,000080
2,유한양행,헬스케어,2019,Q1,0.49186395741730743,0.5028777428122745,0.5377560705611819,0.5356852370006502,975634150056.0,938707951166.0,890581244399.0,873214459641.0,1920025481950.0,1888283893134.0,1926647788496.0,1880651939646.0,282504128300.0,283726403045.0,308231760578.0,286233861382.0,83246241741.0,77027868461.0,90482805127.0,88722739298.0,0.19049245620924765,0.19104874686361553,0.2069473040613452,0.19937586151671374,1437125717107.0,1419614024461.0,1416498589947.0,1398853815961.0,0.8095075437907523,0.8089512531363845,0.7930526959386548,0.8006241384832863,411641529272.0,375598091433.0,383377686569.0,336148685855.0,0.016943374006346677,0.011659644334963816,0.06237244816201973,0.07637860095361164,21043385598.0,6375793619.0,28028983590.0,59380701535.0,0.03507818115809869,0.010064116030457242,0.04896731306667024,0.13238456127475615,14439636136.0,3780062773.0,18772975201.0,44500896300.0,62227710000.0,62227710000.0,62227710000.0,62227710000.0,-0.27947530554119604,000100
3,CJ대한통운,산업재,2019,Q1,0.1746455126849951,0.18942218845433767,0.21337766827583804,0.20817720676295695,4821260564270.0,4769356840030.0,4449023822640.0,4376195990213.0,5841442238903.0,5883897600078.0,5655857510285.0,5526736572362.0,1492836626062.0,1643581485797.0,1212382222369.0,1421750199735.0,1758522917095.0,1763573410854.0,1954000284155.0,1621305004837.0,0.5566021900385327,0.5790642747769493,0.5598412797292068,0.5506061605667354,543039730218.84735,560708174674.5759,505966146693.59064,532775249086.54083,0.4433978099614672,0.4209357252230506,0.44015872027079317,0.44939383943326466,1684693112626.0,1581532073840.0,1573293584980.0,1388766881974.0,0.022795241089422925,0.013282067671885313,0.020288010704884278,0.0144066963193716,560568403.0,-11984850920.0,7925858943.0,53511123236.0,-0.0015000338892944788,-0.007474707291453865,0.0011719349189512132,0.03559437019317217,-2527096762.0,-11821489324.0,1843797690.0,49432282509.0,93461422749.18501,89440078519.78891,89343447564.28839,86793152244.57184,-0.3338952752254609,000120
4,두산,산업재,2019,Q1,0.24843239860365182,0.26199856601233923,0.2471881290829521,0.26596360358590776,3558088689466.0,3536342736072.0,3514415680191.0,3108193172267.0,4734223086327.0,4791783014518.0,4668385045403.0,4234385634624.0,1404102798029.0,1425723802007.0,1314798440816.0,1340252979188.0,1024612509032.0,1029767917631.0,1012944596542.0,544146663538.0,0.5130124336716237,0.512438003181368,0.49861847613665655,0.4450231521941503,1643037267085.0,1734061146016.0,1740815380272.0,1736799888644.0,0.48698756632837625,0.487561996818632,0.5013815238633434,0.5549768478058497,623509869289.4462,628937976615.7039,615945271209.7344,696849211212.0,0.040132065148408946,0.06904350609047918,0.09818427323132639,0.17857508625512683,6847930950.0,23284365744.0,37797707443.0,114756057819.0,0.007673646679326085,0.029860911317612218,0.048003974395205505,0.15136733004912611,4784594438.0,18780661144.0,29567821028.0,105480204548.0,134845735000.0,134845735000.0,134845735000.0,134845735000.0,-0.3404959352914674,000150
5,대림산업,건설,2019,Q1,0.49181565811345085,0.5136407495931912,0.5347357201975077,0.5311504430632137,5116371993452.0,5097823745877.0,5070133821432.0,5110673756752.0,10067944979293.0,10481601288786.0,10897320171633.0,10900455553680.0,3761393238777.0,3814175768445.0,4387586928497.0,4686508120286.0,1204709535908.0,1509906031679.0,1734230781461.0,1550321952416.0,0.4932588313602141,0.5079454611405703,0.561772767390446,0.5721623322977949,4411980470690.0,4469160099014.0,4079894643316.0,3987068913081.0,0.5067411686397859,0.4920545388594298,0.43822723260955404,0.4278376677022051,2194695893645.0,2062821005221.0,2508373974587.0,2485984429167.0,0.04329059244112668,0.0810802925104407,0.06324950977101493,0.07325714424567945,-11649127059.0,476591189462.0,132191632023.0,355113838841.0,-0.01082037337599413,0.17850277233217862,0.03700633604695393,0.11102238997509797,-23747429016.0,368219268257.0,92825730235.0,275999932767.0,218500000000.0,218500000000.0,218500000000.0,218500000000.0,-0.09832233364648046,000210
6,일동제약,헬스케어,2019,Q1,0.14995445291492737,0.14944442053278112,0.1534908842349147,0.16007088104931877,177651917335.0,178756410587.0,176513385181.0,175977074295.0,208991056943.0,210164291320.0,208519178227.0,209514196287.0,19624387581.0,20457795012.0,19810111830.0,21760269995.0,16125083596.0,15680654921.0,15442182149.0,15235001391.0,0.17105742082901793,0.1719533309204033,0.16906020001969954,0.17657644227278307,46156763101.0,46237315671.0,45893546102.0,45462232715.0,0.828942579170982,0.8280466690795967,0.8309397999803004,0.8234235577272169,3830918801.0,3838893596.0,3712801637.0,5732449410.0,0.1076601357074809,0.12649795594907653,0.1518473142711556,0.49138087064252,98452298.0,427780468.0,534609062.0,2760893490.0,-0.0010009079281448337,0.08954912695631796,0.11616925146276001,0.4401593642672897,-3834397.0,343769570.0,431313387.0,2523191288.0,10490296000.0,10490296000.0,10490296000.0,10490296000.0,-0.3216683108946643,000230
7,한국타이어월드와이드,경기소비재,2019,Q1,0.09200235973776422,0.09735131338230411,0.09113794884768055,0.1043329985040033,2095651141252.0,2075480525755.0,2080049537765.0,2071674768557.0,2307991836462.0,2299322600836.0,2288630639961.0,2312996643950.0,21245455071.0,19516028296.0,21201319989.0,53237184936.0,60164956966.0,61155927827.0,58456783943.0,58333738814.0,0.03527326689413114,0.03508509684272614,0.03480601130698724,0.0482365264306937,888309592128.0,880568654653.0,871228794885.0,863984908299.0,0.9647267331058689,0.9649149031572739,0.9651939886930128,0.9517634735693064,14262576861.0,15149063269.0,15055210882.0,30406799024.0,0.6793728465362764,0.6641136918734457,0.6167047898412825,0.8303441130739129,11567676683.0,12190913197.0,9374677402.0,27234604630.0,0.6274164746813209,0.6165305142736083,0.48115477377077365,0.7779617737575375,8948575694.0,9339859768.0,7243886586.0,23655327303.0,46510086500.0,46510086500.0,46510086500.0,46510086500.0,-0.32231411710965063,000240
8,기아차,경기소비재,2019,Q1,0.34967085246296853,0.34083869378520765,0.3661318081334692,0.3807312247927638,24159469000000.0,24452700000000.0,24034462000000.0,23812279000000.0,37149602000000.0,37096686000000.0,37917129000000.0,38452252000000.0,8132675000000.0,6840244000000.0,7765108000000.0,8535018000000.0,7019237000000.0,7267758000000.0,7098906000000.0,6908391000000.0,0.40786202770086205,0.3803035667390882,0.3920131716723595,0.4016256056992449,18367594000000.0,19351397000000.0,19421285000000.0,19324863000000.0,0.592137972299138,0.6196964332609117,0.6079868283276405,0.5983743943007551,8854147000000.0,7492150000000.0,8404540000000.0,7161352000000.0,0.026033902531774095,-0.011758707447127995,0.027942754749218875,0.002148337353058473,65540000000.0,-47066000000.0,149341000000.0,288602000000.0,0.0038227284909545774,-0.0025111616825610806,0.013949127495377498,0.03749669056904339,33847000000.0,-18814000000.0,117236000000.0,268527000000.0,1194553883817.0754,1204954516961.3188,1233888535400.367,1235315242639.928,-0.34521848546856393,000270
9,조선내화,철강_소재,2019,Q1,0.31724460036983737,0.3217632206138512,0.34388746273695403,0.3420156154188562,492346437921.0,461187520222.0,439653969067.0,442144957677.0,721116871705.0,679980110544.0,670089266852.0,671968770138.0,189544214604.0,170275597250.0,164663555619.0,180589207219.0,29215457662.0,8029397817.0,9213278848.0,6996670978.0,0.3033622993021468,0.26222089779118957,0.2594830913854997,0.2791586254201607,404031594378.0,395344262180.0,387207438202.0,378856194553.0,0.6966377006978532,0.7377791022088105,0.7405169086145004,0.7208413745798393,129081943246.0,120582137023.0,123356324151.0,131847797880.0,0.027931854311557456,0.07420677421974405,0.027324757520124882,0.0792089732018511,9652604193.0,8042395302.0,16005938383.0,12660291366.0,0.057285162184983925,0.08617697486169058,0.0968063923206907,0.05796112277851872,7394480054.0,10391403791.0,11941680711.0,7642046401.0,20000000000.0,20000000000.0,20000000000.0,20000000000.0,-0.2843404277320729,000480
