,name,sector,year,quarter,Relative Return,이익잉여금변화율,비유동부채변화율,영업이익변화율,매출액변화율,비유동자산변화율,금리변화율,GDP변화율,실업률변화율,환율변화율,소비자물가지수변화율,특정 증권 등 소유 수변화율,전체 주식 수변화율,특정 증권 등 소유 증감 수변화율,자기주식수변화율,증자주식수변화율,Label,Code
10,Kyungbang,유통,2022,Q1,0.009742516297228892,-0.0016045569085549882,0.011204484518551161,0.3383381353604703,0.1409048079594989,0.010045162241098082,-0.14767324592997877,-0.004832000385876389,0.09183673469387776,-0.018637728474920623,-0.09364288108448604,0.0,0.4171974168843655,0.0,0.4398614223725015,0.0906761131954903,0.23943901702084805,000050
10,LG_International,유통,2022,Q1,-0.21211013717105892,-0.04422056179281442,-0.5789428333768525,0.17864490757158602,-0.056259761124088925,-0.054700403477110804,-0.14767324592997877,-0.004832000385876389,0.09183673469387776,-0.018637728474920623,-0.09364288108448604,-0.038684576804341564,0.5540692815141626,-0.038684576804341564,0.6046810456489554,0.0,0.3601081620022607,001120
10,SK_Networks,유통,2022,Q1,-0.004246819758813535,0.0178928690680199,0.058836967243372174,1.9429550493852046,0.13891935956034362,0.023970024886055374,-0.14767324592997877,-0.004832000385876389,0.09183673469387776,-0.018637728474920623,-0.09364288108448604,-0.03826707640542981,0.0,-0.04018903145680919,0.30920361874116853,0.0,0.01967806084554924,001740
10,Shinsegae,유통,2022,Q1,-0.015314983633494081,-0.02250658414895268,-0.07504647300818412,0.10695781916381397,0.07610828996745334,-0.006640946540753312,-0.14767324592997877,-0.004832000385876389,0.09183673469387776,-0.018637728474920623,-0.09364288108448604,-0.038650631774473476,0.4873678648905895,-0.038650631774473476,-5.1866581538857375,-0.038650631774473476,0.09528060117926389,004170
10,GS_Retail,유통,2022,Q1,-0.045457824708738714,0.027544177553696203,-0.008319495510492603,-0.17900657065057834,0.023873645267978083,-0.015413456923862867,-0.14767324592997877,-0.004832000385876389,0.09183673469387776,-0.018637728474920623,-0.09364288108448604,-0.03856508816038762,0.5082274874765473,-0.03856508816038762,0.6400070230704669,-0.03579001351204392,0.012015940097771127,007070
10,Hotel_Shilla,유통,2022,Q1,-0.0796575511109275,0.030037824542278657,0.0316446960381116,0.47104972170378623,0.029455745953867796,0.05692604440425253,-0.14767324592997877,-0.004832000385876389,0.09183673469387776,-0.018637728474920623,-0.09364288108448604,-0.03864215188038522,0.36787804436881244,-0.038642151880385,0.10520812838641158,0.0,0.11251789742797272,008770
10,Hanssem,유통,2022,Q1,-0.20519969614085584,0.001843100318213442,0.04147824894232266,3.155248305513668,0.08158404135231767,0.017062301781919698,-0.14767324592997877,-0.004832000385876389,0.09183673469387776,-0.018637728474920623,-0.09364288108448604,-0.03864168450242378,0.593053732529514,-0.03864168450242378,0.2615797246955909,0.0,0.002515940097771119,009240
10,Lotte_Shopping,유통,2022,Q1,-0.13590258797990082,-0.015138040632199923,-0.06910893606991553,0.4843408645488264,-0.024546882615897436,-0.07245855407124702,-0.14767324592997877,-0.004832000385876389,0.09183673469387776,-0.018637728474920623,-0.09364288108448604,-0.030121722494159453,0.3656501518424211,-0.03028946158254442,-13.894322519117008,-0.050520560818730686,0.17806287023185724,023530
11,Samsung_C&T,유통,2022,Q1,-0.015205723868402576,-0.0052437933717637275,0.09520406431164985,-0.5072819776565445,-0.10961214053520152,0.07649852077564878,-0.14767324592997877,-0.004832000385876389,0.09183673469387776,-0.018637728474920623,-0.09364288108448604,-0.16441518918635722,0.09848341321129428,-0.16446497459719978,-0.129673356034526,-8.642984638291042,0.025497108307155097,028260
10,Daewoo_International,유통,2022,Q1,-0.05316236182504054,0.004332272951247829,-0.32410142655320073,-0.5269223087769128,-0.03389466553746057,-0.17873001588923332,-0.14767324592997877,-0.004832000385876389,0.09183673469387776,-0.018637728474920623,-0.09364288108448604,-0.039433963934296434,0.42076477565390846,-0.039433963934296434,-2824.1870652412745,-0.22959918734490925,0.03076645064916663,047050
10,Hyundai_Department_Store,유통,2022,Q1,-0.03840197206465078,-0.011918167927651213,0.00953914282108781,-0.027740027681006252,0.03598742751785322,0.006393229443040771,-0.14767324592997877,-0.004832000385876389,0.09183673469387776,-0.018637728474920623,-0.09364288108448604,-0.03860509828830483,0.09518262090427698,-0.03860509828830483,0.175897790965306,-0.03860509828830483,0.09011992489801761,069960
10,Youngone_Corporation,유통,2022,Q1,0.004285114464660501,0.008776331986722674,0.04868778667631113,-0.07040715116249174,0.08224736653490672,0.024481379580345353,-0.14767324592997877,-0.004832000385876389,0.09183673469387776,-0.018637728474920623,-0.09364288108448604,-0.03863440889328196,0.08080710528500434,-0.03863440889328196,0.026482790033732884,-0.03863440889328196,0.1812908688726999,111770
10,Emart,유통,2022,Q1,-0.057403526066204774,-0.20048551398565229,-0.03872394721368111,-1.1731445727029874,-0.054053692748778914,0.0015458252531866945,-0.14767324592997877,-0.004832000385876389,0.09183673469387776,-0.018637728474920623,-0.09364288108448604,-0.038052918084459764,0.1651842736493475,-0.03805291808445954,-5.160841751238984,-0.08856863349728283,0.007070595968216464,139480
