,name,sector,year,quarter,Relative Return,이익잉여금변화율,비유동부채변화율,영업이익변화율,매출액변화율,비유동자산변화율,금리변화율,GDP변화율,실업률변화율,환율변화율,소비자물가지수변화율,특정 증권 등 소유 수변화율,전체 주식 수변화율,특정 증권 등 소유 증감 수변화율,자기주식수변화율,증자주식수변화율,Label,Code
24,Kyungbang,유통,2018,Q3,0.03967232855875262,-0.008435571417007237,-0.6713314452576229,0.014053596538883828,0.08114584122550939,-0.004259322682718114,0.09246405552800974,-0.005201307569219216,-0.11607142857142883,-0.03809438658420561,-0.0442397512820667,0.0,-0.048617483724315846,0.0,-0.048617483724315624,-0.048617483724315846,-0.07274732285193074,000050
24,LG_International,유통,2018,Q3,-0.05846947428784727,-0.026123876346038966,0.041242485260941764,1.039242608435361,-0.14063880098115744,-0.028415872805860998,0.09246405552800974,-0.005201307569219216,-0.11607142857142883,-0.03809438658420561,-0.0442397512820667,-0.04860332360532893,-0.04860332360532915,-0.04860332360532915,-0.04860332360532893,0.0,-0.09124490257332156,001120
24,SK_Networks,유통,2018,Q3,-0.1710666729241935,0.01340882579296121,0.01616636495456303,-1.07519309404816,-0.05341686170260029,0.006087315489924139,0.09246405552800974,-0.005201307569219216,-0.11607142857142883,-0.03809438658420561,-0.0442397512820667,-0.04824493448686473,0.0,-0.04998639743535582,-0.052383402764952125,0.0,0.21757525779323056,001740
24,Shinsegae,유통,2018,Q3,0.1399388530790085,-0.013962273236610478,-0.3665597577705553,-0.1190107357521506,-0.04430000063550499,-0.017949946554275842,0.09246405552800974,-0.005201307569219216,-0.11607142857142883,-0.03809438658420561,-0.0442397512820667,-0.04856828651001144,-0.04856828651001144,-0.04856828651001144,-0.04856828651001144,-0.04856828651001144,-0.09726273414113185,004170
24,GS_Retail,유통,2018,Q3,0.3924073211634346,-0.029453548764680093,-0.002915885553187225,-0.35468936013507024,-0.059734565557412855,-0.016191038111832423,0.09246405552800974,-0.005201307569219216,-0.11607142857142883,-0.03809438658420561,-0.0442397512820667,-0.04860720043759148,-0.04860720043759126,-0.04860720043759126,-0.04860720043759148,-0.04860720043759126,-0.12864600670199705,007070
24,Hotel_Shilla,유통,2018,Q3,0.2991227113407835,-0.07103868636112254,-0.006487484200813354,0.1063985021294459,-0.02328353169282016,-0.008204839703888522,0.09246405552800974,-0.005201307569219216,-0.11607142857142883,-0.03809438658420561,-0.0442397512820667,-0.04860669363235526,-0.04860669363235526,-0.04860669363235526,-0.04860669363235526,0.0,-0.12964696442899165,008770
24,Hanssem,유통,2018,Q3,-0.2610887955630272,-0.02398438090082533,-0.06936308894351861,0.472425143060321,0.10839422984637226,0.0044645456473558776,0.09246405552800974,-0.005201307569219216,-0.11607142857142883,-0.03809438658420561,-0.0442397512820667,-0.04861979155734142,-0.04861979155734142,-0.04861979155734164,-0.04861979155734142,0.0,-0.27512315490518213,009240
24,Lotte_Shopping,유통,2018,Q3,-0.10961338572696167,-0.014448815676406879,-0.08560805172913066,-24.6324943726959,-0.037074578131358615,0.004013503973985255,0.09246405552800974,-0.005201307569219216,-0.11607142857142883,-0.03809438658420561,-0.0442397512820667,-0.07040981912719024,-0.05667718152807821,-0.06993943748302334,0.0207170585931018,-0.02466084402152635,-0.009397558253219692,023530
25,Samsung_C&T,유통,2018,Q3,-0.11148388932408396,-0.034125210885766144,0.012189961605949984,0.14284087924009692,0.0404301089254786,0.01009356015341889,0.09246405552800974,-0.005201307569219216,-0.11607142857142883,-0.03809438658420561,-0.0442397512820667,-0.13383919882984419,-0.03621039691876371,-0.13387450961202485,-0.034922211495626465,-0.026369992604143633,0.10219064240861517,028260
24,Daewoo_International,유통,2018,Q3,-0.021196899826744747,-0.014773743903981007,0.19735320918170907,0.4586156162322733,-0.07223325458805108,0.009676910333021982,0.09246405552800974,-0.005201307569219216,-0.11607142857142883,-0.03809438658420561,-0.0442397512820667,-0.04854199132261883,-0.04854199132261883,-0.048541991322618605,-0.048541991322618605,-0.048541991322618605,-0.03473955702158425,047050
24,Hyundai_Department_Store,유통,2018,Q3,0.2883287364595335,-0.07023141951503842,-0.017304189336960984,-0.048298605485696644,0.016942009878672448,-0.014943719888949714,0.09246405552800974,-0.005201307569219216,-0.11607142857142883,-0.03809438658420561,-0.0442397512820667,-0.04851631613567009,-0.04851631613567031,-0.04851631613567009,-0.04851631613567009,-0.04851631613567009,-0.13652469368663359,069960
24,Youngone_Corporation,유통,2018,Q3,0.24468251445129147,-0.06151936318877693,0.14946502892483227,-0.12587003062037905,-0.046996412604485505,0.05185127899883979,0.09246405552800974,-0.005201307569219216,-0.11607142857142883,-0.03809438658420561,-0.0442397512820667,-0.048601437773400535,-0.048601437773400535,-0.048601437773400535,-0.048601437773400535,-0.048601437773400535,0.1779877661099305,111770
24,Emart,유통,2018,Q3,-0.0156684315985213,-0.05030705001210456,0.18838429523358702,-2.630857827764163,-0.16374246787876534,-0.01537381310145558,0.09246405552800974,-0.005201307569219216,-0.11607142857142883,-0.03809438658420561,-0.0442397512820667,-0.04823477001740861,-0.048234770017408835,-0.04823477001740861,-0.04823477001740861,-0.048234770017408835,-0.1893227993995221,139480
